samples_per_class,discount,num_features,num_selected,n_support,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,lying,standing,walking,running,ascending stairs,vacuum cleaning,rope jumping,sim sitting,sim cycling,sim Nordic walking,sim descending stairs,sim ironing,svm sitting,svm cycling,svm Nordic walking,svm descending stairs,svm ironing,knn sitting,knn cycling,knn Nordic walking,knn descending stairs,knn ironing,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
10,0.7,128,6,7,0.0,2,4,1,0,same,0.2571428571428571,1,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.55,0.45,0.0,0.0,0.05,0.2,0.55,0.3705357142857143,0.9654017857142857,0.8046875,0.40066964285714285,0.6729910714285714,0.3705357142857143,0.9654017857142857,0.8046875,0.40066964285714285,0.6729910714285714,0.3705357142857143,0.9654017857142857,0.8046875,0.40066964285714285,0.6729910714285714,133,133,0.3458646616541353,0.6015037593984962,0.06015037593984962,0.9774436090225563,0.6917293233082706,0.6766917293233082
10,0.7,128,6,7,0.0,2,4,1,0,same,0.2571428571428571,2,0.5783240223463687,0.572513966480447,0.5680446927374302,0.55,0.45,0.0,0.0,0.05,0.2,0.55,0.4782122905027933,0.6703910614525139,0.864804469273743,0.042458100558659215,0.8357541899441341,0.5441340782122905,0.5206703910614525,0.8770949720670391,0.07597765363128492,0.8446927374301676,0.2670391061452514,0.5262569832402234,0.9363128491620112,0.2837988826815642,0.8268156424581006,126,126,0.3412698412698413,0.6984126984126984,0.14285714285714285,0.8650793650793651,0.746031746031746,0.8015873015873016
10,0.7,128,6,7,0.0,2,4,1,0,same,0.2571428571428571,3,0.6205816554809843,0.6360178970917226,0.6516778523489933,0.55,0.45,0.0,0.0,0.05,0.2,0.55,0.3680089485458613,0.9664429530201343,0.8803131991051454,0.16778523489932887,0.7203579418344519,0.3512304250559284,0.9664429530201343,0.8948545861297539,0.28523489932885904,0.6823266219239373,0.35906040268456374,0.9038031319910514,0.8814317673378076,0.35906040268456374,0.7550335570469798,119,119,0.3865546218487395,0.7142857142857143,0.7226890756302521,0.773109243697479,0.7563025210084033,0.8151260504201681
10,0.7,128,6,7,0.0,2,4,1,0,same,0.2571428571428571,4,0.6609182530795072,0.671892497200448,0.6730123180291153,0.55,0.45,0.0,0.0,0.05,0.2,0.55,0.3617021276595745,0.9641657334826428,0.8387458006718925,0.3527435610302352,0.7872340425531915,0.3404255319148936,0.9664053751399776,0.8734602463605823,0.3135498320268757,0.8656215005599104,0.3583426651735722,0.9451287793952967,0.8801791713325868,0.36058230683090703,0.8208286674132139,112,112,0.4732142857142857,0.7232142857142857,0.7410714285714286,0.8392857142857143,0.7321428571428571,0.8392857142857143
10,0.7,128,6,7,0.0,2,4,1,0,same,0.2571428571428571,5,0.6647982062780269,0.7017937219730942,0.6753363228699552,0.55,0.45,0.0,0.0,0.05,0.2,0.55,0.44170403587443946,0.9596412556053812,0.8127802690582959,0.37668161434977576,0.7331838565022422,0.4204035874439462,0.9641255605381166,0.7903587443946188,0.47757847533632286,0.8565022421524664,0.42376681614349776,0.9484304932735426,0.8621076233183856,0.4282511210762332,0.7141255605381166,105,105,0.5714285714285714,0.7047619047619048,0.8095238095238095,0.8380952380952381,0.7904761904761904,0.8285714285714286
10,0.7,128,6,7,0.0,2,4,1,0,different,0.37142857142857144,1,0.4779017857142857,0.4779017857142857,0.4779017857142857,1.0,1.0,0.0,0.45,0.1,0.0,0.05,0.15959821428571427,0.9241071428571429,0.9430803571428571,0.09933035714285714,0.26339285714285715,0.15959821428571427,0.9241071428571429,0.9430803571428571,0.09933035714285714,0.26339285714285715,0.15959821428571427,0.9241071428571429,0.9430803571428571,0.09933035714285714,0.26339285714285715,133,133,0.706766917293233,0.8045112781954887,0.7518796992481203,0.8421052631578947,0.8571428571428571,0.8270676691729323
10,0.7,128,6,7,0.0,2,4,1,0,different,0.37142857142857144,2,0.7313966480446927,0.7427932960893855,0.6974301675977653,1.0,1.0,0.0,0.45,0.1,0.0,0.05,0.5910614525139665,0.9340782122905028,0.8960893854748604,0.3229050279329609,0.9128491620111732,0.6011173184357542,0.9284916201117318,0.9418994413407821,0.2849162011173184,0.9575418994413408,0.5597765363128492,0.9307262569832402,0.9407821229050279,0.3094972067039106,0.7463687150837989,126,126,0.8174603174603174,0.8015873015873016,0.7301587301587301,0.8650793650793651,0.9047619047619048,0.8888888888888888
10,0.7,128,6,7,0.0,2,4,1,0,different,0.37142857142857144,3,0.7116331096196868,0.7532438478747203,0.7174496644295302,1.0,1.0,0.0,0.45,0.1,0.0,0.05,0.5380313199105146,0.9194630872483222,0.8635346756152126,0.378076062639821,0.8590604026845637,0.6051454138702461,0.9228187919463087,0.9295302013422819,0.40380313199105144,0.9049217002237137,0.5794183445190156,0.8982102908277405,0.8534675615212528,0.5111856823266219,0.7449664429530202,119,119,0.7647058823529411,0.8403361344537815,0.8319327731092437,0.8571428571428571,0.9411764705882353,0.8739495798319328
10,0.7,128,6,7,0.0,2,4,1,0,different,0.37142857142857144,4,0.7505039193729003,0.7637178051511758,0.7272116461366182,1.0,1.0,0.0,0.45,0.1,0.0,0.05,0.6472564389697648,0.9328107502799552,0.845464725643897,0.5363941769316909,0.7905935050391937,0.6091825307950728,0.9339305711086227,0.9182530795072789,0.43673012318029114,0.9204927211646137,0.6438969764837627,0.9204927211646137,0.8701007838745801,0.5274356103023516,0.6741321388577828,112,112,0.7767857142857143,0.7857142857142857,0.8392857142857143,0.8392857142857143,0.9375,0.8392857142857143
10,0.7,128,6,7,0.0,2,4,1,0,different,0.37142857142857144,5,0.758744394618834,0.7661434977578475,0.7376681614349776,1.0,1.0,0.0,0.45,0.1,0.0,0.05,0.6434977578475336,0.9428251121076233,0.8632286995515696,0.5145739910313901,0.8295964125560538,0.5818385650224215,0.9383408071748879,0.9170403587443946,0.42713004484304934,0.9663677130044843,0.7163677130044843,0.9372197309417041,0.8699551569506726,0.5100896860986547,0.6547085201793722,105,105,0.8095238095238095,0.8095238095238095,0.8571428571428571,0.8476190476190476,0.9523809523809523,0.8857142857142857
