samples_per_class,discount,num_features,num_selected,n_support,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,lying,standing,walking,running,ascending stairs,vacuum cleaning,rope jumping,sim sitting,sim cycling,sim Nordic walking,sim descending stairs,sim ironing,svm sitting,svm cycling,svm Nordic walking,svm descending stairs,svm ironing,knn sitting,knn cycling,knn Nordic walking,knn descending stairs,knn ironing,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.9357142857142857,1,0.49165562913907285,0.49165562913907285,0.49165562913907285,0.9,0.95,0.85,0.95,0.95,0.95,1.0,0.633112582781457,0.7324503311258278,0.9655629139072848,0.05562913907284768,0.07152317880794702,0.633112582781457,0.7324503311258278,0.9655629139072848,0.05562913907284768,0.07152317880794702,0.633112582781457,0.7324503311258278,0.9655629139072848,0.05562913907284768,0.07152317880794702,133,133,0.5714285714285714,0.8571428571428571,0.2556390977443609,0.9548872180451128,0.6165413533834586,0.8270676691729323
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.9357142857142857,2,0.6111405835543766,0.6013262599469495,0.5851458885941645,0.9,0.95,0.85,0.95,0.95,0.95,1.0,0.5689655172413793,0.7214854111405835,0.9562334217506632,0.28116710875331563,0.5278514588859416,0.5596816976127321,0.7506631299734748,0.9562334217506632,0.2546419098143236,0.4854111405835544,0.5981432360742706,0.5026525198938993,0.9509283819628647,0.5,0.3740053050397878,126,126,0.6587301587301587,0.8412698412698413,0.5873015873015873,0.8650793650793651,0.6825396825396826,0.9206349206349206
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.9357142857142857,3,0.7057104913678619,0.6772908366533864,0.7033200531208499,0.9,0.95,0.85,0.95,0.95,0.95,1.0,0.5976095617529881,0.9269588313413014,0.9455511288180611,0.45152722443559096,0.6069057104913679,0.6069057104913679,0.9482071713147411,0.9548472775564409,0.27224435590969454,0.6042496679946879,0.6228419654714475,0.6932270916334662,0.950863213811421,0.5843293492695883,0.6653386454183267,119,119,0.7394957983193278,0.7647058823529411,0.7478991596638656,0.8571428571428571,0.7394957983193278,0.8907563025210085
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.9357142857142857,4,0.7335106382978723,0.738031914893617,0.7601063829787233,0.9,0.95,0.85,0.95,0.95,0.95,1.0,0.6117021276595744,0.925531914893617,0.9348404255319149,0.5691489361702128,0.6263297872340425,0.6223404255319149,0.9335106382978723,0.9534574468085106,0.5013297872340425,0.6795212765957447,0.8085106382978723,0.7207446808510638,0.9507978723404256,0.6170212765957447,0.7034574468085106,112,112,0.7232142857142857,0.7857142857142857,0.6875,0.8482142857142857,0.75,0.9196428571428571
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.9357142857142857,5,0.7171770972037284,0.7376830892143809,0.7765645805592544,0.9,0.95,0.85,0.95,0.95,0.95,1.0,0.611185086551265,0.9201065246338216,0.9414114513981359,0.5299600532623169,0.5832223701731025,0.6231691078561917,0.9467376830892144,0.9494007989347537,0.5366178428761651,0.6324900133155792,0.7989347536617842,0.8828229027962716,0.9507323568575233,0.563249001331558,0.6870838881491345,105,105,0.7238095238095238,0.7619047619047619,0.7047619047619048,0.8476190476190476,0.7333333333333333,0.9238095238095239
8,0.9,128,2,5,0.0001,2,1,1,1,different,0.9714285714285714,1,0.6256953642384105,0.6256953642384105,0.6256953642384105,1.0,1.0,1.0,0.95,0.85,1.0,1.0,0.4609271523178808,0.9430463576158941,0.47152317880794703,0.5655629139072847,0.6874172185430464,0.4609271523178808,0.9430463576158941,0.47152317880794703,0.5655629139072847,0.6874172185430464,0.4609271523178808,0.9430463576158941,0.47152317880794703,0.5655629139072847,0.6874172185430464,133,133,0.6992481203007519,0.6992481203007519,0.48120300751879697,0.9398496240601504,0.7819548872180451,0.7293233082706767
8,0.9,128,2,5,0.0001,2,1,1,1,different,0.9714285714285714,2,0.6482758620689655,0.6427055702917772,0.7201591511936339,1.0,1.0,1.0,0.95,0.85,1.0,1.0,0.6007957559681698,0.9297082228116711,0.7374005305039788,0.2413793103448276,0.7320954907161804,0.5822281167108754,0.9403183023872679,0.5888594164456233,0.44562334217506633,0.656498673740053,0.6883289124668435,0.9429708222811671,0.9084880636604774,0.47480106100795755,0.5862068965517241,126,126,0.6984126984126984,0.6428571428571429,0.7698412698412699,0.7698412698412699,0.7063492063492064,0.8492063492063492
8,0.9,128,2,5,0.0001,2,1,1,1,different,0.9714285714285714,3,0.6780876494023904,0.6581673306772908,0.7328021248339973,1.0,1.0,1.0,0.95,0.85,1.0,1.0,0.7171314741035857,0.9057104913678619,0.8924302788844621,0.24833997343957503,0.6268260292164675,0.6879150066401063,0.9309428950863213,0.6294820717131474,0.44621513944223107,0.5962815405046481,0.9322709163346613,0.9349269588313412,0.9136786188579017,0.44223107569721115,0.4409030544488712,119,119,0.6638655462184874,0.6890756302521008,0.8067226890756303,0.7983193277310925,0.8319327731092437,0.7815126050420168
8,0.9,128,2,5,0.0001,2,1,1,1,different,0.9714285714285714,4,0.6789893617021276,0.6651595744680852,0.749468085106383,1.0,1.0,1.0,0.95,0.85,1.0,1.0,0.7353723404255319,0.8949468085106383,0.7978723404255319,0.3603723404255319,0.6063829787234043,0.7047872340425532,0.9042553191489362,0.6156914893617021,0.5438829787234043,0.5571808510638298,0.9335106382978723,0.9281914893617021,0.901595744680851,0.5372340425531915,0.44680851063829785,112,112,0.6517857142857143,0.7232142857142857,0.7857142857142857,0.8482142857142857,0.8125,0.8125
8,0.9,128,2,5,0.0001,2,1,1,1,different,0.9714285714285714,5,0.7099866844207723,0.7145139813581891,0.7350199733688415,1.0,1.0,1.0,0.95,0.85,1.0,1.0,0.7376830892143809,0.8961384820239681,0.914780292942743,0.4207723035952064,0.5805592543275633,0.7363515312916112,0.918774966711052,0.933422103861518,0.41544607190412786,0.5685752330226365,0.848202396804261,0.9254327563249002,0.9214380825565912,0.5286284953395473,0.45139813581890814,105,105,0.6666666666666666,0.7333333333333333,0.8,0.8285714285714286,0.8380952380952381,0.7523809523809524
