samples_per_class,discount,num_features,num_selected,n_support,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim sit,sim bike,sim jog,sim downstairs,sim write,svm sit,svm bike,svm jog,svm downstairs,svm write,knn sit,knn bike,knn jog,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
10,0.7,128,6,1,-1,2,4,1,1,same,0.275,1,0.6021240916713247,0.6021240916713247,0.6021240916713247,0.8,0.0,0.0,0.0,0.95,0.0,0.0,0.45,0.05869200670765791,0.7602012297372834,0.262157629960872,0.9323644494130799,0.9972051425377306,0.05869200670765791,0.7602012297372834,0.262157629960872,0.9323644494130799,0.9972051425377306,0.05869200670765791,0.7602012297372834,0.262157629960872,0.9323644494130799,0.9972051425377306,152,152,0.4407894736842105,0.8026315789473685,0.27631578947368424,1.0,0.4605263157894737,0.9276315789473685
10,0.7,128,6,1,-1,2,4,1,1,same,0.275,2,0.6791946308724832,0.65,0.7618568232662193,0.8,0.0,0.0,0.0,0.95,0.0,0.0,0.45,0.44686800894854584,0.819351230425056,0.28131991051454136,0.860738255033557,0.9876957494407159,0.18120805369127516,0.8070469798657718,0.308165548098434,0.9580536912751678,0.9955257270693513,0.7813199105145414,0.796420581655481,0.3327740492170022,0.9530201342281879,0.9457494407158836,144,144,0.4930555555555556,0.8194444444444444,0.2708333333333333,1.0,0.5763888888888888,0.7777777777777778
10,0.7,128,6,1,-1,2,4,1,1,same,0.275,3,0.7328483491885842,0.6949076664801344,0.7714605484051483,0.8,0.0,0.0,0.0,0.95,0.0,0.0,0.45,0.8231673195299385,0.6295467263570229,0.3005036373810856,0.9384443200895355,0.9725797425853385,0.37213206491326245,0.782876329043089,0.3609401231113598,0.9641857862339116,0.9944040290990487,0.812534974818131,0.7963066592053721,0.3374370453273643,0.9641857862339116,0.9468382764409625,136,136,0.5073529411764706,0.9705882352941176,0.2647058823529412,1.0,0.5367647058823529,0.8382352941176471
10,0.7,128,6,1,-1,2,4,1,1,same,0.275,4,0.7521836506159014,0.8143337066069429,0.8587905935050392,0.8,0.0,0.0,0.0,0.95,0.0,0.0,0.45,0.8729003359462486,0.6131019036954087,0.3818589025755879,0.9412094064949608,0.9518477043673013,0.8191489361702128,0.7558790593505039,0.561030235162374,0.961926091825308,0.9736842105263158,0.8124300111982082,0.7855543113101904,0.780515117581187,0.9680851063829787,0.9473684210526315,128,128,0.5078125,0.9765625,0.390625,1.0,0.59375,0.859375
10,0.7,128,6,1,-1,2,4,1,1,same,0.275,5,0.831484593837535,0.8910924369747899,0.8803361344537816,0.8,0.0,0.0,0.0,0.95,0.0,0.0,0.45,0.857703081232493,0.7484593837535014,0.646498599439776,0.9473389355742297,0.9574229691876751,0.8291316526610645,0.8280112044817927,0.8778711484593837,0.9714285714285714,0.9490196078431372,0.8442577030812325,0.8515406162464986,0.8504201680672269,0.965266106442577,0.8901960784313725,120,120,0.5416666666666666,0.975,0.43333333333333335,1.0,0.65,0.8416666666666667
10,0.7,128,6,2,-1,2,4,1,1,same,0.125,1,0.7792062604807155,0.7792062604807155,0.7792062604807155,0.0,0.0,0.0,0.0,0.55,0.1,0.35,0.0,0.9228619340413639,0.2705422023476803,0.9401900503074343,0.8703186137506987,0.8921185019564002,0.9228619340413639,0.2705422023476803,0.9401900503074343,0.8703186137506987,0.8921185019564002,0.9228619340413639,0.2705422023476803,0.9401900503074343,0.8703186137506987,0.8921185019564002,152,152,0.48026315789473684,0.8947368421052632,0.06578947368421052,1.0,0.4144736842105263,0.868421052631579
10,0.7,128,6,2,-1,2,4,1,1,same,0.125,2,0.825503355704698,0.7318791946308725,0.808165548098434,0.0,0.0,0.0,0.0,0.55,0.1,0.35,0.0,0.8685682326621924,0.4837807606263982,0.988255033557047,0.7992170022371364,0.9876957494407159,0.5178970917225951,0.3831096196868009,0.9871364653243848,0.7712527964205816,1.0,0.9580536912751678,0.32102908277404923,0.9765100671140939,0.8568232662192393,0.9284116331096197,144,144,0.3680555555555556,1.0,0.2986111111111111,1.0,0.3402777777777778,0.9722222222222222
10,0.7,128,6,2,-1,2,4,1,1,same,0.125,3,0.8793508673754896,0.8134303301622832,0.829770565193061,0.0,0.0,0.0,0.0,0.55,0.1,0.35,0.0,0.9026301063234471,0.646894236149972,0.987129266927812,0.8819250139899273,0.9781757134862898,0.650811415780638,0.5282596530498042,0.983212087297146,0.9048684946838277,1.0,0.8729714605484051,0.40011191941801905,0.9731393396754336,0.9412423055400112,0.9613878007834359,136,136,0.40441176470588236,0.9926470588235294,0.38235294117647056,1.0,0.4338235294117647,0.9632352941176471
