bs,discount,num_features,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim jog,sim sit,sim bike,sim downstairs,sim write,svm jog,svm sit,svm bike,svm downstairs,svm write,knn jog,knn sit,knn bike,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
64,0.9,256,0.0001,2,1,1,1,1,0.8333333333333334,1,0.8927892677473449,0.8927892677473449,0.8927892677473449,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,0.8571428571428571,0.8,0.8384572386808273,0.8423700391280045,0.8121855785354947,0.9966461710452766,0.9742873113471213,0.8384572386808273,0.8423700391280045,0.8121855785354947,0.9966461710452766,0.9742873113471213,0.8384572386808273,0.8423700391280045,0.8121855785354947,0.9966461710452766,0.9742873113471213,28,28,0.42857142857142855,1.0,0.25,1.0,0.4642857142857143,0.8214285714285714
64,0.9,256,0.0001,2,1,1,1,1,0.8333333333333334,2,0.9165548098434004,0.9017897091722595,0.8712527964205816,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,0.8571428571428571,0.8,0.8467561521252797,0.8887024608501118,0.9440715883668904,0.9837807606263982,0.9194630872483222,0.8243847874720358,0.8048098434004475,0.9345637583892618,0.982662192393736,0.9625279642058165,0.8439597315436241,0.7197986577181208,0.9753914988814317,0.9725950782997763,0.8445190156599552,20,20,0.4,1.0,0.4,1.0,0.4,0.7
64,0.9,256,0.0001,2,1,1,1,1,0.8333333333333334,3,0.923223279238948,0.9226636821488529,0.8792389479574706,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,0.8571428571428571,0.8,0.8707330721880246,0.855623950755456,0.9434806939003917,0.9893676552881925,0.9569110240626749,0.8791270285394516,0.8237269166200336,0.9513150531617236,0.9848908785674314,0.974258533855624,0.8791270285394516,0.7157246782316732,0.9759373251259094,0.9792949076664801,0.8461108002238389,12,12,0.3333333333333333,1.0,0.4166666666666667,1.0,0.5,0.75
64,0.9,256,0.0001,2,1,1,1,1,0.8333333333333334,4,0.9305711086226204,0.825979843225084,0.8947368421052632,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,0.8571428571428571,0.8,0.910414333706607,0.8561030235162373,0.9378499440089586,0.9820828667413214,0.9664053751399776,0.944568868980963,0.36562150055991044,0.8521836506159015,0.9787234042553191,0.9888017917133258,0.879619260918253,0.7648376259798432,0.9725643896976484,0.9759238521836506,0.8807390817469205,7,7,0.5714285714285714,1.0,0.5714285714285714,1.0,0.7142857142857143,0.7142857142857143
64,0.9,256,0.0001,2,1,1,1,1,0.8333333333333334,5,0.9254901960784314,0.9248179271708683,0.9130532212885154,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,0.8571428571428571,0.8,0.9355742296918768,0.869467787114846,0.8756302521008403,0.9865546218487395,0.9602240896358544,0.9742296918767507,0.7535014005602241,0.9389355742296919,0.9798319327731092,0.9775910364145658,0.9736694677871148,0.7624649859943977,0.9725490196078431,0.9719887955182073,0.884593837535014,2,2,0.5,1.0,0.5,1.0,0.5,1.0
64,0.9,256,0.0001,2,1,5,1,1,0.5277777777777778,1,0.8147568474007826,0.8147568474007826,0.8147568474007826,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6,0.8,0.2857142857142857,0.6,0.8608160983789827,0.8580212409167133,0.4991615427613192,0.9234209055338177,0.9323644494130799,0.8608160983789827,0.8580212409167133,0.4991615427613192,0.9234209055338177,0.9323644494130799,0.8608160983789827,0.8580212409167133,0.4991615427613192,0.9234209055338177,0.9323644494130799,28,28,0.7142857142857143,0.9642857142857143,0.6785714285714286,1.0,0.8928571428571429,0.8571428571428571
64,0.9,256,0.0001,2,1,5,1,1,0.5277777777777778,2,0.6957494407158836,0.724496644295302,0.7917225950782998,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6,0.8,0.2857142857142857,0.6,0.9468680089485458,0.07718120805369127,0.7276286353467561,0.7466442953020134,0.9804250559284117,0.935682326621924,0.03076062639821029,0.7242729306487695,0.9440715883668904,0.9876957494407159,0.9793064876957495,0.20190156599552572,0.901565995525727,0.9144295302013423,0.9614093959731543,20,20,0.75,0.95,0.8,0.95,0.9,0.8
64,0.9,256,0.0001,2,1,5,1,1,0.5277777777777778,3,0.7670956911024063,0.7803021824286513,0.7882484611080023,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6,0.8,0.2857142857142857,0.6,0.9709009513150532,0.10464465584778959,0.8461108002238389,0.9244543928371572,0.9893676552881925,0.970341354224958,0.09065472859541131,0.9294907666480134,0.9272523782876329,0.9837716843872412,0.978735310576385,0.20649132624510352,0.9238947957470621,0.8897593732512591,0.9423614997202014,12,12,0.75,1.0,0.75,1.0,0.9166666666666666,0.8333333333333334
64,0.9,256,0.0001,2,1,5,1,1,0.5277777777777778,4,0.7117581187010078,0.7601343784994401,0.9114221724524076,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6,0.8,0.2857142857142857,0.6,0.9742441209406495,0.06998880179171332,0.6567749160134378,0.8729003359462486,0.9848824188129899,0.9809630459126539,0.005039193729003359,0.8734602463605823,0.9473684210526315,0.9938409854423292,0.9787234042553191,0.851063829787234,0.9221724524076148,0.893057110862262,0.9120940649496081,7,7,0.7142857142857143,1.0,0.7142857142857143,1.0,0.8571428571428571,0.5714285714285714
64,0.9,256,0.0001,2,1,5,1,1,0.5277777777777778,5,0.7129411764705882,0.729187675070028,0.9070028011204482,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6,0.8,0.2857142857142857,0.6,0.9876750700280112,0.08515406162464986,0.5854341736694678,0.9176470588235294,0.988795518207283,0.9876750700280112,0.002240896358543417,0.7210084033613445,0.9400560224089636,0.9949579831932773,0.9910364145658264,0.8504201680672269,0.907563025210084,0.8689075630252101,0.9170868347338935,2,2,True,True,True,True,True,True
