bs,discount,num_features,num_selected,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim jog,sim sit,sim bike,sim downstairs,sim write,svm jog,svm sit,svm bike,svm downstairs,svm write,knn jog,knn sit,knn bike,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
64,0.9,256,2,0.0001,1,1,1,1,1,0.8611111111111112,1,0.9019564002235886,0.9019564002235886,0.9019564002235886,1.0,1.0,0.6666666666666666,0.4,0.8,0.8,0.7142857142857143,0.2,0.9597540525433202,0.7903856903297932,0.8462828395751817,0.9793180547792063,0.9340413638904416,0.9597540525433202,0.7903856903297932,0.8462828395751817,0.9793180547792063,0.9340413638904416,0.9597540525433202,0.7903856903297932,0.8462828395751817,0.9793180547792063,0.9340413638904416,28,28,0.7142857142857143,0.8571428571428571,0.42857142857142855,1.0,0.8928571428571429,0.6428571428571429
64,0.9,256,2,0.0001,1,1,1,1,1,0.8611111111111112,2,0.8890380313199105,0.8980984340044743,0.9080536912751678,1.0,1.0,0.6666666666666666,0.4,0.8,0.8,0.7142857142857143,0.2,0.8797539149888143,0.8909395973154363,0.7606263982102909,0.9625279642058165,0.9513422818791947,0.9423937360178971,0.8842281879194631,0.7332214765100671,0.9681208053691275,0.9625279642058165,0.9233780760626398,0.8763982102908278,0.8450782997762863,0.9602908277404921,0.9351230425055929,20,20,0.7,0.9,0.55,1.0,0.9,0.75
64,0.9,256,2,0.0001,1,1,1,1,1,0.8611111111111112,3,0.8703973139339676,0.8867375489647454,0.9094571908226077,1.0,1.0,0.6666666666666666,0.4,0.8,0.8,0.7142857142857143,0.2,0.919418019026301,0.9037493005036373,0.655288192501399,0.9597090095131505,0.9138220481253497,0.9479574706211528,0.8942361499720202,0.697817571348629,0.9597090095131505,0.9339675433687745,0.952993844432009,0.8785674314493565,0.8393956351426972,0.9412423055400112,0.9350867375489648,12,12,0.75,1.0,0.5833333333333334,1.0,0.9166666666666666,0.8333333333333334
64,0.9,256,2,0.0001,1,1,1,1,1,0.8611111111111112,4,0.868421052631579,0.8866741321388578,0.910414333706607,1.0,1.0,0.6666666666666666,0.4,0.8,0.8,0.7142857142857143,0.2,0.9288913773796192,0.8986562150055991,0.6595744680851063,0.9585666293393057,0.8964165733482643,0.9367301231802911,0.8908174692049272,0.7172452407614781,0.9759238521836506,0.9126539753639418,0.9473684210526315,0.8880179171332587,0.812989921612542,0.9697648376259799,0.9339305711086227,7,7,0.8571428571428571,1.0,0.7142857142857143,1.0,1.0,0.7142857142857143
64,0.9,256,2,0.0001,1,1,1,1,1,0.8611111111111112,5,0.8682352941176471,0.8889635854341736,0.9098039215686274,1.0,1.0,0.6666666666666666,0.4,0.8,0.8,0.7142857142857143,0.2,0.95406162464986,0.8795518207282913,0.6397759103641456,0.9663865546218487,0.9014005602240897,0.95406162464986,0.8649859943977591,0.7098039215686275,0.9736694677871148,0.942296918767507,0.9624649859943978,0.8901960784313725,0.7859943977591036,0.9764705882352941,0.9338935574229692,2,2,0.5,1.0,0.5,1.0,True,True
64,0.9,256,2,0.0001,1,2,1,1,1,0.9166666666666666,1,0.6737842370039128,0.6737842370039128,0.6737842370039128,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,0.5902738960313024,0.9183901621017329,0.1520402459474567,0.7680268306316378,0.9401900503074343,0.5902738960313024,0.9183901621017329,0.1520402459474567,0.7680268306316378,0.9401900503074343,0.5902738960313024,0.9183901621017329,0.1520402459474567,0.7680268306316378,0.9401900503074343,28,28,0.5357142857142857,1.0,0.25,1.0,0.5357142857142857,0.8571428571428571
64,0.9,256,2,0.0001,1,2,1,1,1,0.9166666666666666,2,0.6686800894854587,0.6897091722595078,0.7031319910514542,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,0.6655480984340044,0.8629753914988815,0.21588366890380314,0.9211409395973155,0.6778523489932886,0.6705816554809844,0.8529082774049217,0.27293064876957496,0.9407158836689038,0.7114093959731543,0.6073825503355704,0.9172259507829977,0.3087248322147651,0.7941834451901566,0.8881431767337807,20,20,0.55,1.0,0.25,1.0,0.5,0.95
64,0.9,256,2,0.0001,1,2,1,1,1,0.9166666666666666,3,0.6871852266368215,0.6953553441522105,0.6924454392837157,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,0.599888080581981,0.8282036933407946,0.2837157246782317,0.9552322327923894,0.7688864017907107,0.6177951874650252,0.838276440962507,0.32064913262451034,0.9569110240626749,0.7431449356463347,0.4616675993284835,0.9043088975937326,0.3240067151650811,0.8640179071068831,0.9082260772243984,12,12,0.75,1.0,0.3333333333333333,1.0,0.5,0.9166666666666666
64,0.9,256,2,0.0001,1,2,1,1,1,0.9166666666666666,4,0.7368421052631579,0.7440089585666293,0.7611422172452408,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,0.6914893617021277,0.8309070548712206,0.3734602463605823,0.9596864501679732,0.8286674132138858,0.6881298992161254,0.8566629339305711,0.4423292273236282,0.9652855543113102,0.7676371780515118,0.5671892497200448,0.9020156774916014,0.5139977603583427,0.8717805151175811,0.9507278835386338,7,7,0.8571428571428571,1.0,0.5714285714285714,1.0,0.5714285714285714,0.8571428571428571
64,0.9,256,2,0.0001,1,2,1,1,1,0.9166666666666666,5,0.7946218487394958,0.8293557422969188,0.913389355742297,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,0.8168067226890756,0.8145658263305322,0.49411764705882355,0.9641456582633053,0.8834733893557423,0.8717086834733894,0.8380952380952381,0.6302521008403361,0.9686274509803922,0.8380952380952381,0.8677871148459384,0.876750700280112,0.9053221288515406,0.9518207282913165,0.965266106442577,2,2,True,True,True,True,True,True
64,0.9,256,2,0.0001,1,3,1,1,1,0.8611111111111112,1,0.823588596981554,0.823588596981554,0.823588596981554,1.0,1.0,1.0,1.0,0.6,1.0,0.42857142857142855,0.8,0.8563443264393515,0.6903297931805478,0.5930687534935718,0.98993851313583,0.9882615986584684,0.8563443264393515,0.6903297931805478,0.5930687534935718,0.98993851313583,0.9882615986584684,0.8563443264393515,0.6903297931805478,0.5930687534935718,0.98993851313583,0.9882615986584684,28,28,0.6785714285714286,0.9642857142857143,0.03571428571428571,1.0,0.6428571428571429,0.5714285714285714
64,0.9,256,2,0.0001,1,3,1,1,1,0.8611111111111112,2,0.8288590604026845,0.8072706935123043,0.8120805369127517,1.0,1.0,1.0,1.0,0.6,1.0,0.42857142857142855,0.8,0.8014541387024608,0.6957494407158836,0.6812080536912751,0.9776286353467561,0.988255033557047,0.7365771812080537,0.7052572706935123,0.6191275167785235,0.9899328859060402,0.9854586129753915,0.8260626398210291,0.6890380313199105,0.5665548098434005,0.9888143176733781,0.9899328859060402,20,20,0.75,0.95,0.45,1.0,0.55,0.75
64,0.9,256,2,0.0001,1,3,1,1,1,0.8611111111111112,3,0.9162842753217684,0.8937884722999441,0.906099608282037,1.0,1.0,1.0,1.0,0.6,1.0,0.42857142857142855,0.8,0.8421936205931729,0.8220481253497481,0.9350867375489648,0.9916060436485731,0.9904868494683827,0.7213206491326245,0.7991046446558477,0.9681029658645776,0.987129266927812,0.9932848349188584,0.8259653049804141,0.7800783435926133,0.9445998880805819,0.9860100727476218,0.9938444320089536,12,12,0.9166666666666666,0.9166666666666666,0.75,1.0,0.8333333333333334,0.8333333333333334
64,0.9,256,2,0.0001,1,3,1,1,1,0.8611111111111112,4,0.9291153415453527,0.9098544232922733,0.9038073908174692,1.0,1.0,1.0,1.0,0.6,1.0,0.42857142857142855,0.8,0.8846584546472565,0.8622620380739082,0.9316909294512878,0.9910414333706606,0.9759238521836506,0.8365061590145577,0.7693169092945129,0.9658454647256439,0.986562150055991,0.9910414333706606,0.8863381858902576,0.8017917133258678,0.9406494960806271,0.9815229563269877,0.9087346024636058,7,7,1.0,0.8571428571428571,True,True,0.8571428571428571,0.7142857142857143
64,0.9,256,2,0.0001,1,3,1,1,1,0.8611111111111112,5,0.8444817927170868,0.8206162464985994,0.9177591036414566,1.0,1.0,1.0,1.0,0.6,1.0,0.42857142857142855,0.8,0.9372549019607843,0.434733893557423,0.8851540616246498,0.9876750700280112,0.9775910364145658,0.9865546218487395,0.19831932773109243,0.9563025210084034,0.9675070028011205,0.9943977591036415,0.984313725490196,0.7988795518207283,0.9338935574229692,0.9495798319327731,0.9221288515406163,2,2,True,True,True,True,1.0,0.5
64,0.9,256,2,0.0001,1,4,1,1,1,0.8333333333333334,1,0.7954164337618781,0.7954164337618781,0.7954164337618781,1.0,0.6666666666666666,1.0,0.8,1.0,0.6,0.8571428571428571,0.8,0.7473448854108441,0.8244829513694801,0.62157629960872,0.8636109558412521,0.9200670765790945,0.7473448854108441,0.8244829513694801,0.62157629960872,0.8636109558412521,0.9200670765790945,0.7473448854108441,0.8244829513694801,0.62157629960872,0.8636109558412521,0.9200670765790945,28,28,0.5,0.9285714285714286,0.2857142857142857,0.9642857142857143,0.5357142857142857,0.7857142857142857
64,0.9,256,2,0.0001,1,4,1,1,1,0.8333333333333334,2,0.8516778523489933,0.8577181208053691,0.8646532438478747,1.0,0.6666666666666666,1.0,0.8,1.0,0.6,0.8571428571428571,0.8,0.9725950782997763,0.7807606263982103,0.7667785234899329,0.8987695749440716,0.8394854586129754,0.9714765100671141,0.7706935123042505,0.7785234899328859,0.8831096196868009,0.8847874720357942,0.8562639821029083,0.8249440715883669,0.8763982102908278,0.860178970917226,0.9054809843400448,20,20,0.5,0.95,0.35,1.0,0.65,0.75
64,0.9,256,2,0.0001,1,4,1,1,1,0.8333333333333334,3,0.8879686625629547,0.8800223838836038,0.8842753217683268,1.0,0.6666666666666666,1.0,0.8,1.0,0.6,0.8571428571428571,0.8,0.9625069949636262,0.8186905428091774,0.8282036933407946,0.9641857862339116,0.8662562954672636,0.9625069949636262,0.8332400671516508,0.8393956351426972,0.923335198656967,0.8416340235030778,0.855623950755456,0.8259653049804141,0.8785674314493565,0.9434806939003917,0.9177392277560157,12,12,0.4166666666666667,0.9166666666666666,0.5,1.0,0.5,0.8333333333333334
64,0.9,256,2,0.0001,1,4,1,1,1,0.8333333333333334,4,0.8911534154535274,0.8944008958566629,0.8948488241881299,1.0,0.6666666666666666,1.0,0.8,1.0,0.6,0.8571428571428571,0.8,0.9697648376259799,0.8023516237402015,0.8258678611422172,0.9630459126539753,0.8947368421052632,0.9820828667413214,0.793952967525196,0.8314669652855543,0.9468085106382979,0.9176931690929452,0.9221724524076148,0.8107502799552072,0.8667413213885778,0.9434490481522956,0.931131019036954,7,7,0.2857142857142857,1.0,0.2857142857142857,1.0,0.42857142857142855,0.7142857142857143
64,0.9,256,2,0.0001,1,4,1,1,1,0.8333333333333334,5,0.8897478991596639,0.8933333333333333,0.8763025210084033,1.0,0.6666666666666666,1.0,0.8,1.0,0.6,0.8571428571428571,0.8,0.9439775910364145,0.8173669467787115,0.8072829131652661,0.9669467787114846,0.9131652661064426,0.9759103641456582,0.8179271708683473,0.8145658263305322,0.9439775910364145,0.9142857142857143,0.9215686274509803,0.8100840336134454,0.7843137254901961,0.9294117647058824,0.9361344537815126,2,2,False,True,False,True,0.5,1.0
64,0.9,256,2,0.0001,1,1,1,1,1,0.6944444444444444,1,0.7909446618222471,0.7909446618222471,0.7909446618222471,1.0,0.6666666666666666,1.0,0.6,0.8,0.4,0.42857142857142855,0.6,0.9536053661263275,0.9195081050866406,0.42481833426495247,0.9334823923979877,0.723309111235327,0.9536053661263275,0.9195081050866406,0.42481833426495247,0.9334823923979877,0.723309111235327,0.9536053661263275,0.9195081050866406,0.42481833426495247,0.9334823923979877,0.723309111235327,28,28,0.6785714285714286,0.8928571428571429,0.5357142857142857,0.9642857142857143,0.6428571428571429,0.8928571428571429
64,0.9,256,2,0.0001,1,1,1,1,1,0.6944444444444444,2,0.9144295302013423,0.9062639821029083,0.7748322147651007,1.0,0.6666666666666666,1.0,0.6,0.8,0.4,0.42857142857142855,0.6,0.9809843400447428,0.8333333333333334,0.8227069351230425,0.9737136465324385,0.9614093959731543,0.988255033557047,0.8864653243847874,0.8003355704697986,0.9658836689038032,0.8903803131991052,0.8640939597315436,0.4524608501118568,0.7718120805369127,0.9295302013422819,0.8562639821029083,20,20,0.8,0.85,0.5,1.0,0.55,0.75
