bs,discount,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim jog,sim sit,sim bike,sim downstairs,sim write,svm jog,svm sit,svm bike,svm downstairs,svm write,knn jog,knn sit,knn bike,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
10,0.6,0.0001,2,1,20,1,1,0.6944444444444444,1,0.740860816098379,0.740860816098379,0.740860816098379,0.6666666666666666,1.0,0.6666666666666666,0.4,0.6,0.2,0.5714285714285714,0.6,0.9782001117942984,0.7741755170486305,0.22694242593627725,0.8049189491335942,0.9200670765790945,0.9782001117942984,0.7741755170486305,0.22694242593627725,0.8049189491335942,0.9200670765790945,0.9782001117942984,0.7741755170486305,0.22694242593627725,0.8049189491335942,0.9200670765790945,28,28,0.5,1.0,0.4642857142857143,1.0,0.7142857142857143,0.75
10,0.6,0.0001,2,1,20,1,1,0.6944444444444444,2,0.6728187919463087,0.6843400447427294,0.8312080536912752,0.6666666666666666,1.0,0.6666666666666666,0.4,0.6,0.2,0.5714285714285714,0.6,0.9759507829977628,0.16890380313199105,0.37527964205816555,0.8456375838926175,0.9983221476510067,0.9642058165548099,0.059843400447427295,0.5341163310961968,0.8646532438478747,0.9988814317673378,0.977069351230425,0.848434004474273,0.5973154362416108,0.8098434004474273,0.9233780760626398,20,20,0.55,1.0,0.55,1.0,0.7,0.75
10,0.6,0.0001,2,1,20,1,1,0.6944444444444444,3,0.829658645775042,0.8492445439283716,0.8742025741466144,0.6666666666666666,1.0,0.6666666666666666,0.4,0.6,0.2,0.5714285714285714,0.6,0.970341354224958,0.8584219362059318,0.523223279238948,0.821488528259653,0.9748181309457191,0.9429210968102966,0.7985450475657526,0.6877448237269166,0.8310016787912703,0.9860100727476218,0.9675433687744823,0.8819250139899273,0.7711247901510913,0.8270844991606043,0.923335198656967,12,12,0.5,1.0,0.5,1.0,0.6666666666666666,0.8333333333333334
10,0.6,0.0001,2,1,20,1,1,0.6944444444444444,4,0.797424412094065,0.858006718924972,0.8424412094064949,0.6666666666666666,1.0,0.6666666666666666,0.4,0.6,0.2,0.5714285714285714,0.6,0.9428891377379619,0.9008958566629339,0.5145576707726763,0.6696528555431132,0.9591265397536394,0.9367301231802911,0.8919372900335947,0.6763717805151176,0.8258678611422172,0.9591265397536394,0.7889137737961927,0.8667413213885778,0.7681970884658454,0.8292273236282195,0.9591265397536394,7,7,0.42857142857142855,1.0,0.42857142857142855,1.0,0.7142857142857143,0.8571428571428571
10,0.6,0.0001,2,1,20,1,1,0.6944444444444444,5,0.8227450980392157,0.8823529411764706,0.8798879551820729,0.6666666666666666,1.0,0.6666666666666666,0.4,0.6,0.2,0.5714285714285714,0.6,0.9456582633053221,0.9042016806722689,0.5927170868347339,0.7182072829131653,0.9529411764705882,0.9254901960784314,0.9070028011204482,0.8067226890756303,0.8397759103641457,0.9327731092436975,0.8425770308123249,0.8901960784313725,0.8834733893557423,0.8296918767507003,0.9535014005602241,2,2,False,True,False,True,0.5,1.0
20,0.6,0.0001,2,1,20,1,1,0.8333333333333334,1,0.7957518166573505,0.7957518166573505,0.7957518166573505,1.0,1.0,0.6666666666666666,1.0,0.6,0.6,0.7142857142857143,0.8,0.8960313024035774,0.796534376746786,0.39295695919508106,0.9346003353828954,0.9586361095584125,0.8960313024035774,0.796534376746786,0.39295695919508106,0.9346003353828954,0.9586361095584125,0.8960313024035774,0.796534376746786,0.39295695919508106,0.9346003353828954,0.9586361095584125,28,28,0.4642857142857143,0.9642857142857143,0.35714285714285715,1.0,0.4642857142857143,0.7857142857142857
20,0.6,0.0001,2,1,20,1,1,0.8333333333333334,2,0.8177852348993289,0.8155480984340044,0.8366890380313199,1.0,1.0,0.6666666666666666,1.0,0.6,0.6,0.7142857142857143,0.8,0.8870246085011185,0.8680089485458613,0.46196868008948544,0.9524608501118568,0.9194630872483222,0.8959731543624161,0.9021252796420581,0.5039149888143176,0.9368008948545862,0.8389261744966443,0.8713646532438478,0.8148769574944071,0.569351230425056,0.9714765100671141,0.9563758389261745,20,20,0.45,0.95,0.45,0.95,0.65,0.75
20,0.6,0.0001,2,1,20,1,1,0.8333333333333334,3,0.8568550643536653,0.8528259653049804,0.9072188024622272,1.0,1.0,0.6666666666666666,1.0,0.6,0.6,0.7142857142857143,0.8,0.8925573587017348,0.8897593732512591,0.6592053721320649,0.9395635142697258,0.9031897034135422,0.889199776161164,0.9071068830442082,0.6871852266368215,0.9384443200895355,0.8421936205931729,0.8942361499720202,0.8651371012870733,0.9076664801343033,0.9468382764409625,0.9222160044767768,12,12,0.4166666666666667,0.9166666666666666,0.4166666666666667,0.9166666666666666,0.75,0.8333333333333334
20,0.6,0.0001,2,1,20,1,1,0.8333333333333334,4,0.8704367301231803,0.8864501679731243,0.9124300111982083,1.0,1.0,0.6666666666666666,1.0,0.6,0.6,0.7142857142857143,0.8,0.8936170212765957,0.8980963045912654,0.7054871220604704,0.9378499440089586,0.9171332586786114,0.8885778275475924,0.9087346024636058,0.8348264277715566,0.9367301231802911,0.8633818589025756,0.8941769316909295,0.8717805151175811,0.9328107502799552,0.9417693169092946,0.921612541993281,7,7,0.42857142857142855,1.0,0.42857142857142855,1.0,0.7142857142857143,0.8571428571428571
20,0.6,0.0001,2,1,20,1,1,0.8333333333333334,5,0.9091316526610644,0.9139495798319328,0.9306442577030812,1.0,1.0,0.6666666666666666,1.0,0.6,0.6,0.7142857142857143,0.8,0.9753501400560224,0.9126050420168067,0.7703081232492998,0.9366946778711485,0.9507002801120448,0.8957983193277311,0.8834733893557423,0.8773109243697479,0.9338935574229692,0.9792717086834734,0.973109243697479,0.938375350140056,0.9546218487394958,0.8677871148459384,0.9193277310924369,2,2,0.5,1.0,0.5,1.0,0.5,1.0
30,0.6,0.0001,2,1,20,1,1,0.8055555555555556,1,0.5795416433761879,0.5795416433761879,0.5795416433761879,1.0,1.0,1.0,1.0,0.6,0.6,0.7142857142857143,0.8,0.9452207937395193,0.0955841252096143,0.3694801565120179,0.48854108440469535,0.9988820570150923,0.9452207937395193,0.0955841252096143,0.3694801565120179,0.48854108440469535,0.9988820570150923,0.9452207937395193,0.0955841252096143,0.3694801565120179,0.48854108440469535,0.9988820570150923,28,28,0.5,1.0,0.4642857142857143,1.0,0.6428571428571429,0.8214285714285714
30,0.6,0.0001,2,1,20,1,1,0.8055555555555556,2,0.7100671140939597,0.6777404921700224,0.7756152125279642,1.0,1.0,1.0,1.0,0.6,0.6,0.7142857142857143,0.8,0.9334451901565995,0.10346756152125279,0.6616331096196868,0.8585011185682326,0.9932885906040269,0.9256152125279642,0.08221476510067115,0.5151006711409396,0.8668903803131991,0.9988814317673378,0.9451901565995525,0.16666666666666666,0.8260626398210291,0.9614093959731543,0.9787472035794184,20,20,0.55,1.0,0.55,1.0,0.8,0.65
30,0.6,0.0001,2,1,20,1,1,0.8055555555555556,3,0.7522104085058757,0.7747062115277,0.8144376049244544,1.0,1.0,1.0,1.0,0.6,0.6,0.7142857142857143,0.8,0.9865696698377169,0.13206491326245104,0.7257974258533856,0.9188584219362059,0.9977616116396195,0.9888080581980974,0.10184667039731393,0.8875209848908786,0.8970341354224958,0.9983212087297146,0.9804141018466704,0.18410744264129827,0.9686625629546727,0.9541130386121992,0.9848908785674314,12,12,0.75,1.0,0.6666666666666666,1.0,0.8333333333333334,0.6666666666666666
30,0.6,0.0001,2,1,20,1,1,0.8055555555555556,4,0.7272116461366182,0.7707726763717805,0.8005599104143337,1.0,1.0,1.0,1.0,0.6,0.6,0.7142857142857143,0.8,0.9837625979843225,0.11142217245240761,0.6528555431131019,0.8913773796192609,0.9966405375139977,0.9882418812989922,0.08622620380739082,0.8628219484882419,0.9182530795072789,0.9983202687569989,0.9804031354983203,0.18477043673012317,0.9736842105263158,0.8790593505039194,0.9848824188129899,7,7,0.7142857142857143,1.0,0.7142857142857143,1.0,0.8571428571428571,0.7142857142857143
30,0.6,0.0001,2,1,20,1,1,0.8055555555555556,5,0.7482352941176471,0.7838655462184874,0.7975350140056022,1.0,1.0,1.0,1.0,0.6,0.6,0.7142857142857143,0.8,0.9826330532212885,0.10644257703081232,0.7473389355742297,0.9098039215686274,0.9949579831932773,0.9871148459383754,0.08515406162464986,0.9210084033613445,0.9322128851540616,0.9938375350140056,0.9803921568627451,0.1843137254901961,0.9736694677871148,0.8649859943977591,0.984313725490196,2,2,True,True,True,True,1.0,0.5
40,0.6,0.0001,2,1,20,1,1,0.7222222222222222,1,0.6870877585243153,0.6870877585243153,0.6870877585243153,1.0,1.0,1.0,1.0,0.8,0.4,0.7142857142857143,0.4,0.8256008943543879,0.024035774175517048,0.6143096702068195,0.9742873113471213,0.9972051425377306,0.8256008943543879,0.024035774175517048,0.6143096702068195,0.9742873113471213,0.9972051425377306,0.8256008943543879,0.024035774175517048,0.6143096702068195,0.9742873113471213,0.9972051425377306,28,28,0.6428571428571429,0.9642857142857143,0.6428571428571429,1.0,0.7142857142857143,0.9285714285714286
