bs,discount,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim jog,sim sit,sim bike,sim downstairs,sim write,svm jog,svm sit,svm bike,svm downstairs,svm write,knn jog,knn sit,knn bike,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
64,0.6,5e-06,2,1,20,1,1,0.8611111111111112,4,0.925531914893617,0.9446808510638298,0.9391937290033595,1.0,1.0,1.0,0.8,0.0,0.8,0.8571428571428571,0.8,0.9686450167973124,0.9272116461366181,0.8185890257558791,0.9434490481522956,0.9697648376259799,0.9798432250839866,0.9400895856662934,0.8924972004479284,0.9440089585666294,0.9669652855543113,0.9781634938409854,0.938969764837626,0.9647256438969765,0.91993281075028,0.8941769316909295,7,7,0.2857142857142857,1.0,0.2857142857142857,1.0,0.42857142857142855,1.0
64,0.6,5e-06,2,1,20,1,1,0.8611111111111112,5,0.9272829131652661,0.9324369747899159,0.9428571428571428,1.0,1.0,1.0,0.8,0.0,0.8,0.8571428571428571,0.8,0.9753501400560224,0.9400560224089636,0.8324929971988796,0.9394957983193277,0.9490196078431372,0.9820728291316526,0.9411764705882353,0.8991596638655462,0.9378151260504202,0.9019607843137255,0.9820728291316526,0.9400560224089636,0.9507002801120448,0.9299719887955182,0.911484593837535,2,2,False,True,False,True,False,True
64,0.6,1e-05,2,1,20,1,1,0.75,1,0.7806595863610956,0.7806595863610956,0.7806595863610956,1.0,1.0,1.0,0.8,0.4,0.8,0.2857142857142857,0.8,0.3605366126327557,0.8244829513694801,0.7942984907769703,0.9474566797093348,0.9765231973169368,0.3605366126327557,0.8244829513694801,0.7942984907769703,0.9474566797093348,0.9765231973169368,0.3605366126327557,0.8244829513694801,0.7942984907769703,0.9474566797093348,0.9765231973169368,28,28,0.5714285714285714,0.8928571428571429,0.39285714285714285,0.9642857142857143,0.7142857142857143,0.6428571428571429
64,0.6,1e-05,2,1,20,1,1,0.75,2,0.8214765100671141,0.7881431767337808,0.9232662192393736,1.0,1.0,1.0,0.8,0.4,0.8,0.2857142857142857,0.8,0.8696868008948546,0.8847874720357942,0.4446308724832215,0.9608501118568232,0.9474272930648769,0.7919463087248322,0.8987695749440716,0.34675615212527966,0.9619686800894854,0.9412751677852349,0.9608501118568232,0.8573825503355704,0.895413870246085,0.9552572706935123,0.9474272930648769,20,20,0.45,0.9,0.3,0.95,0.75,0.75
64,0.6,1e-05,2,1,20,1,1,0.75,3,0.8364857302742026,0.8649132624510353,0.9256855064353665,1.0,1.0,1.0,0.8,0.4,0.8,0.2857142857142857,0.8,0.8058198097369894,0.8959149412423055,0.5791829882484612,0.9569110240626749,0.9445998880805819,0.7241186345831002,0.9015109121432568,0.8063794068270845,0.9535534415221041,0.9390039171796307,0.9569110240626749,0.8819250139899273,0.8953553441522104,0.9462786793508674,0.9479574706211528,12,12,0.5,0.9166666666666666,0.25,0.9166666666666666,0.6666666666666666,0.75
64,0.6,1e-05,2,1,20,1,1,0.75,4,0.870548712206047,0.9089585666293393,0.9283314669652856,1.0,1.0,1.0,0.8,0.4,0.8,0.2857142857142857,0.8,0.9238521836506159,0.8958566629339306,0.6461366181410975,0.944568868980963,0.9423292273236282,0.9031354983202687,0.9048152295632699,0.8639417693169092,0.9479283314669653,0.9249720044792833,0.9669652855543113,0.8818589025755879,0.8952967525195968,0.9496080627099664,0.9479283314669653,7,7,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.7142857142857143
64,0.6,1e-05,2,1,20,1,1,0.75,5,0.8928851540616246,0.9310924369747899,0.9314285714285714,1.0,1.0,1.0,0.8,0.4,0.8,0.2857142857142857,0.8,0.9445378151260504,0.8991596638655462,0.7310924369747899,0.927170868347339,0.9624649859943978,0.957983193277311,0.907563025210084,0.9036414565826331,0.934453781512605,0.9518207282913165,0.9753501400560224,0.8487394957983193,0.9501400560224089,0.9434173669467787,0.9394957983193277,2,2,0.5,1.0,0.5,1.0,True,True
64,0.6,5e-05,2,1,20,1,1,0.7222222222222222,1,0.8387926215762996,0.8387926215762996,0.8387926215762996,0.6666666666666666,1.0,1.0,0.8,0.6,0.6,0.42857142857142855,0.8,0.9860257126886529,0.8859698155394075,0.8345444382336501,0.8870877585243152,0.6003353828954723,0.9860257126886529,0.8859698155394075,0.8345444382336501,0.8870877585243152,0.6003353828954723,0.9860257126886529,0.8859698155394075,0.8345444382336501,0.8870877585243152,0.6003353828954723,28,28,0.7857142857142857,0.8214285714285714,0.4642857142857143,0.9642857142857143,0.7857142857142857,0.8571428571428571
64,0.6,5e-05,2,1,20,1,1,0.7222222222222222,2,0.9013422818791946,0.8485458612975392,0.9175615212527964,0.6666666666666666,1.0,1.0,0.8,0.6,0.6,0.42857142857142855,0.8,0.9821029082774049,0.883668903803132,0.8736017897091722,0.9099552572706935,0.8573825503355704,0.9804250559284117,0.901565995525727,0.6778523489932886,0.9088366890380313,0.7740492170022372,0.9793064876957495,0.8327740492170023,0.883668903803132,0.9384787472035794,0.953579418344519,20,20,0.8,0.85,0.7,1.0,0.75,0.85
64,0.6,5e-05,2,1,20,1,1,0.7222222222222222,3,0.8736429770565193,0.876664801343033,0.9251259093452714,0.6666666666666666,1.0,1.0,0.8,0.6,0.6,0.42857142857142855,0.8,0.9809736989367656,0.9003917179630666,0.838276440962507,0.9367655288192501,0.7118074986010072,0.9647453833240067,0.9026301063234471,0.9099048684946839,0.9272523782876329,0.6787912702853945,0.9764969222160045,0.8836038052602126,0.9210968102965864,0.9384443200895355,0.9059876888640179,12,12,0.75,0.9166666666666666,0.75,1.0,0.8333333333333334,0.6666666666666666
64,0.6,5e-05,2,1,20,1,1,0.7222222222222222,4,0.864053751399776,0.8748040313549832,0.926427771556551,0.6666666666666666,1.0,1.0,0.8,0.6,0.6,0.42857142857142855,0.8,0.9837625979843225,0.9137737961926092,0.851063829787234,0.91993281075028,0.6517357222844344,0.9501679731243001,0.9137737961926092,0.9221724524076148,0.9221724524076148,0.6657334826427772,0.9854423292273237,0.9143337066069429,0.9154535274356103,0.9109742441209406,0.9059350503919373,7,7,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.5714285714285714
64,0.6,5e-05,2,1,20,1,1,0.7222222222222222,5,0.9012885154061625,0.8929971988795519,0.9326610644257703,0.6666666666666666,1.0,1.0,0.8,0.6,0.6,0.42857142857142855,0.8,0.984873949579832,0.9019607843137255,0.9025210084033614,0.9260504201680673,0.7910364145658263,0.9428571428571428,0.8974789915966387,0.9355742296918768,0.9456582633053221,0.7434173669467787,0.9859943977591037,0.861624649859944,0.9221288515406163,0.9215686274509803,0.9719887955182073,2,2,True,True,True,True,1.0,0.5
64,0.6,0.0001,2,1,20,1,1,0.75,1,0.7073225265511459,0.7073225265511459,0.7073225265511459,1.0,0.6666666666666666,0.6666666666666666,0.6,0.8,0.8,0.8571428571428571,0.4,0.12632755729457798,0.7529346003353828,0.7976523197316937,0.9474566797093348,0.9122414756847401,0.12632755729457798,0.7529346003353828,0.7976523197316937,0.9474566797093348,0.9122414756847401,0.12632755729457798,0.7529346003353828,0.7976523197316937,0.9474566797093348,0.9122414756847401,28,28,0.7142857142857143,0.8571428571428571,0.4642857142857143,1.0,0.7142857142857143,0.9285714285714286
64,0.6,0.0001,2,1,20,1,1,0.75,2,0.8414988814317673,0.839821029082774,0.8969798657718121,1.0,0.6666666666666666,0.6666666666666666,0.6,0.8,0.8,0.8571428571428571,0.4,0.7080536912751678,0.7874720357941835,0.9010067114093959,0.9552572706935123,0.8557046979865772,0.8227069351230425,0.7997762863534675,0.808165548098434,0.9558165548098434,0.8126398210290827,0.9340044742729307,0.7740492170022372,0.941834451901566,0.9423937360178971,0.8926174496644296,20,20,0.65,0.85,0.55,1.0,0.65,0.85
64,0.6,0.0001,2,1,20,1,1,0.75,3,0.8883044208170118,0.8840514829322887,0.9025181869054281,1.0,0.6666666666666666,0.6666666666666666,0.6,0.8,0.8,0.8571428571428571,0.4,0.8718522663682149,0.7862339115836597,0.9076664801343033,0.9820928931169558,0.893676552881925,0.9272523782876329,0.8007834359261332,0.8500279798545047,0.9692221600447678,0.8729714605484051,0.9339675433687745,0.7722439843312815,0.9473978735310576,0.9748181309457191,0.8841634023503078,12,12,0.6666666666666666,1.0,0.5,1.0,0.4166666666666667,0.6666666666666666
64,0.6,0.0001,2,1,20,1,1,0.75,4,0.8753639417693169,0.8703247480403136,0.8852183650615901,1.0,0.6666666666666666,0.6666666666666666,0.6,0.8,0.8,0.8571428571428571,0.4,0.8656215005599104,0.8141097424412094,0.8880179171332587,0.9781634938409854,0.8309070548712206,0.910414333706607,0.812989921612542,0.7973124300111982,0.9759238521836506,0.85498320268757,0.9322508398656215,0.8146696528555432,0.9456886898096305,0.9804031354983203,0.7530795072788354,7,7,0.7142857142857143,1.0,0.42857142857142855,1.0,0.42857142857142855,0.5714285714285714
64,0.6,0.0001,2,1,20,1,1,0.75,5,0.9008403361344538,0.8934453781512605,0.9042016806722689,1.0,0.6666666666666666,0.6666666666666666,0.6,0.8,0.8,0.8571428571428571,0.4,0.9193277310924369,0.8890756302521008,0.8873949579831932,0.9725490196078431,0.8358543417366947,0.9484593837535014,0.8588235294117647,0.7971988795518208,0.9753501400560224,0.8873949579831932,0.946218487394958,0.8705882352941177,0.9439775910364145,0.9764705882352941,0.7837535014005602,2,2,0.5,1.0,0.5,1.0,0.5,1.0
64,0.6,0.0005,2,1,20,1,1,0.75,1,0.8031302403577417,0.8031302403577417,0.8031302403577417,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,0.42857142857142855,0.8,0.786472889882616,0.8216880939072108,0.5818893236444941,0.9083286752375629,0.917272219116825,0.786472889882616,0.8216880939072108,0.5818893236444941,0.9083286752375629,0.917272219116825,0.786472889882616,0.8216880939072108,0.5818893236444941,0.9083286752375629,0.917272219116825,28,28,0.4642857142857143,0.7857142857142857,0.2857142857142857,0.9642857142857143,0.5714285714285714,0.6785714285714286
