bs,discount,num_features,num_selected,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim jog,sim sit,sim bike,sim downstairs,sim write,svm jog,svm sit,svm bike,svm downstairs,svm write,knn jog,knn sit,knn bike,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
64,0.9,256,2,0.0001,2,1,20,1,1,0.9166666666666666,1,0.7001676914477362,0.7001676914477362,0.7001676914477362,1.0,0.6666666666666666,1.0,0.8,1.0,0.6,1.0,1.0,0.6769144773616546,0.9798770262716602,0.6595863610955841,0.2688652878703186,0.9155953046394634,0.6769144773616546,0.9798770262716602,0.6595863610955841,0.2688652878703186,0.9155953046394634,0.6769144773616546,0.9798770262716602,0.6595863610955841,0.2688652878703186,0.9155953046394634,28,28,0.6428571428571429,0.9642857142857143,0.5,1.0,0.5357142857142857,1.0
64,0.9,256,2,0.0001,2,1,20,1,1,0.9166666666666666,2,0.8166666666666667,0.7340044742729307,0.8875838926174496,1.0,0.6666666666666666,1.0,0.8,1.0,0.6,1.0,1.0,0.889261744966443,0.9546979865771812,0.5246085011185683,0.75,0.964765100671141,0.8808724832214765,0.9675615212527964,0.28243847874720357,0.5827740492170023,0.9563758389261745,0.785234899328859,0.9446308724832215,0.8271812080536913,0.918903803131991,0.9619686800894854,20,20,0.7,1.0,0.6,1.0,0.7,1.0
64,0.9,256,2,0.0001,2,1,20,1,1,0.9166666666666666,3,0.8560716284275321,0.885394515948517,0.9147174034695019,1.0,0.6666666666666666,1.0,0.8,1.0,0.6,1.0,1.0,0.9205372132064913,0.932288752098489,0.5707890318970341,0.8875209848908786,0.9692221600447678,0.9289311695579183,0.9468382764409625,0.7532176832680471,0.8371572467823167,0.9608282036933408,0.7951874650251819,0.9082260772243984,0.9199776161163962,0.9759373251259094,0.974258533855624,12,12,0.75,1.0,0.5833333333333334,1.0,0.8333333333333334,1.0
64,0.9,256,2,0.0001,2,1,20,1,1,0.9166666666666666,4,0.868421052631579,0.9073908174692049,0.9472564389697649,1.0,0.6666666666666666,1.0,0.8,1.0,0.6,1.0,1.0,0.9708846584546472,0.9400895856662934,0.6035834266517357,0.8706606942889138,0.9568868980963046,0.9776035834266518,0.9417693169092946,0.7558790593505039,0.9120940649496081,0.9496080627099664,0.9837625979843225,0.9165733482642777,0.9092945128779395,0.9658454647256439,0.9608062709966405,7,7,0.8571428571428571,1.0,0.8571428571428571,1.0,True,True
64,0.9,256,2,0.0001,2,1,20,1,1,0.9166666666666666,5,0.8798879551820729,0.915406162464986,0.9472268907563025,1.0,0.6666666666666666,1.0,0.8,1.0,0.6,1.0,1.0,0.9624649859943978,0.9333333333333333,0.6453781512605042,0.9047619047619048,0.9535014005602241,0.9775910364145658,0.9316526610644258,0.8056022408963586,0.9176470588235294,0.9445378151260504,0.9837535014005602,0.9120448179271708,0.9098039215686274,0.9697478991596639,0.9607843137254902,2,2,True,True,True,True,True,True
64,0.9,256,3,0.0001,2,1,20,1,1,0.8611111111111112,1,0.76690888764673,0.76690888764673,0.76690888764673,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.8,0.9580771380659586,0.7171604248183343,0.20122973728339855,0.985466741196199,0.9726103968697597,0.9580771380659586,0.7171604248183343,0.20122973728339855,0.985466741196199,0.9726103968697597,0.9580771380659586,0.7171604248183343,0.20122973728339855,0.985466741196199,0.9726103968697597,28,28,0.39285714285714285,1.0,0.25,1.0,0.5357142857142857,0.75
64,0.9,256,3,0.0001,2,1,20,1,1,0.8611111111111112,2,0.8087248322147651,0.8266219239373602,0.8096196868008948,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.8,0.9837807606263982,0.8171140939597316,0.2936241610738255,0.9832214765100671,0.9658836689038032,0.9731543624161074,0.8590604026845637,0.37360178970917224,0.9876957494407159,0.9395973154362416,0.9888143176733781,0.7192393736017897,0.39429530201342283,0.9664429530201343,0.9793064876957495,20,20,0.4,1.0,0.35,1.0,0.6,0.65
64,0.9,256,3,0.0001,2,1,20,1,1,0.8611111111111112,3,0.8616675993284835,0.8759932848349189,0.9439283715724678,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.8,0.9736989367655288,0.9031897034135422,0.48964745383324004,0.9815332960268607,0.9602686066032456,0.9669837716843872,0.8908785674314493,0.591494124230554,0.9899272523782876,0.9406827084499161,0.9854504756575265,0.8472299944040291,0.9406827084499161,0.9681029658645776,0.9781757134862898,12,12,0.4166666666666667,1.0,0.4166666666666667,1.0,0.6666666666666666,0.6666666666666666
64,0.9,256,3,0.0001,2,1,20,1,1,0.8611111111111112,4,0.8743561030235162,0.9239641657334826,0.938073908174692,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.8,0.973124300111982,0.8756998880179171,0.5795072788353863,0.9893617021276596,0.9540873460246361,0.9692049272116461,0.8673012318029115,0.8561030235162373,0.990481522956327,0.9367301231802911,0.9854423292273237,0.8163493840985442,0.9406494960806271,0.9759238521836506,0.9720044792833147,7,7,0.42857142857142855,1.0,0.42857142857142855,1.0,0.8571428571428571,0.8571428571428571
64,0.9,256,3,0.0001,2,1,20,1,1,0.8611111111111112,5,0.8847058823529412,0.9290756302521008,0.938375350140056,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.8,0.9719887955182073,0.8610644257703082,0.6470588235294118,0.9893557422969188,0.95406162464986,0.9714285714285714,0.8582633053221288,0.8918767507002802,0.9904761904761905,0.9333333333333333,0.9854341736694678,0.8162464985994398,0.9378151260504202,0.9759103641456582,0.9764705882352941,2,2,True,True,True,True,True,True
64,0.9,256,4,0.0001,2,1,20,1,1,0.8611111111111112,1,0.9039686975964226,0.9039686975964226,0.9039686975964226,1.0,1.0,1.0,0.8,0.6,0.8,0.8571428571428571,1.0,0.9569591950810509,0.8703186137506987,0.7283398546674119,0.9955282280603689,0.9686975964225825,0.9569591950810509,0.8703186137506987,0.7283398546674119,0.9955282280603689,0.9686975964225825,0.9569591950810509,0.8703186137506987,0.7283398546674119,0.9955282280603689,0.9686975964225825,28,28,0.2857142857142857,1.0,0.17857142857142858,1.0,0.6428571428571429,0.7857142857142857
64,0.9,256,4,0.0001,2,1,20,1,1,0.8611111111111112,2,0.8738255033557047,0.8825503355704698,0.8950782997762864,1.0,1.0,1.0,0.8,0.6,0.8,0.8571428571428571,1.0,0.9675615212527964,0.9077181208053692,0.5592841163310962,0.9932885906040269,0.9412751677852349,0.9731543624161074,0.9038031319910514,0.6124161073825504,0.993847874720358,0.9295302013422819,0.9586129753914989,0.8993288590604027,0.6761744966442953,0.9916107382550335,0.9496644295302014,20,20,0.25,1.0,0.25,1.0,0.75,0.9
