bs,discount,num_features,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim jog,sim sit,sim bike,sim downstairs,sim write,svm jog,svm sit,svm bike,svm downstairs,svm write,knn jog,knn sit,knn bike,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
64,0.6,32,0.0001,2,1,20,1,1,0.6944444444444444,1,0.6297372833985466,0.6297372833985466,0.6297372833985466,1.0,0.6666666666666666,1.0,0.6,0.4,0.4,0.7142857142857143,0.8,0.48183342649524874,0.6103968697596422,0.13974287311347122,1.0,0.9167132476243711,0.48183342649524874,0.6103968697596422,0.13974287311347122,1.0,0.9167132476243711,0.48183342649524874,0.6103968697596422,0.13974287311347122,1.0,0.9167132476243711,28,28,0.14285714285714285,1.0,False,True,0.42857142857142855,0.6428571428571429
64,0.6,32,0.0001,2,1,20,1,1,0.6944444444444444,2,0.8242729306487696,0.7470917225950783,0.8576062639821029,1.0,0.6666666666666666,1.0,0.6,0.4,0.4,0.7142857142857143,0.8,0.935682326621924,0.732662192393736,0.4960850111856823,0.9837807606263982,0.9731543624161074,0.7276286353467561,0.8187919463087249,0.24161073825503357,0.9977628635346756,0.9496644295302014,0.9921700223713646,0.6331096196868009,0.7997762863534675,0.8987695749440716,0.9642058165548099,20,20,0.2,1.0,0.1,1.0,0.8,0.9
64,0.6,32,0.0001,2,1,20,1,1,0.6944444444444444,3,0.8879686625629547,0.8867375489647454,0.8643536653609402,1.0,0.6666666666666666,1.0,0.6,0.4,0.4,0.7142857142857143,0.8,0.9697817571348629,0.7795187465025182,0.7638500279798545,0.95747062115277,0.9692221600447678,0.8321208729714605,0.8461108002238389,0.8399552322327923,0.9888080581980974,0.9266927811975377,0.9916060436485731,0.6429770565193061,0.8153329602686066,0.8919977616116396,0.9798545047565753,12,12,0.25,1.0,0.16666666666666666,1.0,0.9166666666666666,0.9166666666666666
64,0.6,32,0.0001,2,1,20,1,1,0.6944444444444444,4,0.9202687569988802,0.9276595744680851,0.9058230683090706,1.0,0.6666666666666666,1.0,0.6,0.4,0.4,0.7142857142857143,0.8,0.9428891377379619,0.8583426651735723,0.8426651735722285,0.9787234042553191,0.9787234042553191,0.8846584546472565,0.8353863381858903,0.9585666293393057,0.9860022396416573,0.9736842105263158,0.9916013437849944,0.6875699888017918,0.9787234042553191,0.8913773796192609,0.9798432250839866,7,7,0.2857142857142857,1.0,0.14285714285714285,1.0,True,True
64,0.6,32,0.0001,2,1,20,1,1,0.6944444444444444,5,0.9197759103641456,0.9276190476190476,0.9129411764705883,1.0,0.6666666666666666,1.0,0.6,0.4,0.4,0.7142857142857143,0.8,0.9624649859943978,0.8851540616246498,0.8207282913165266,0.9647058823529412,0.9658263305322129,0.9484593837535014,0.884593837535014,0.9450980392156862,0.9714285714285714,0.8885154061624649,0.9910364145658264,0.7406162464985995,0.9507002801120448,0.8896358543417366,0.9927170868347339,2,2,False,True,False,True,True,True
64,0.6,64,0.0001,2,1,20,1,1,0.7777777777777778,1,0.6220234768026831,0.6220234768026831,0.6220234768026831,1.0,1.0,1.0,1.0,0.6,0.6,0.42857142857142855,0.8,0.5103409726103969,0.6869759642258245,0.012297372833985467,0.9731693683622136,0.927333705980995,0.5103409726103969,0.6869759642258245,0.012297372833985467,0.9731693683622136,0.927333705980995,0.5103409726103969,0.6869759642258245,0.012297372833985467,0.9731693683622136,0.927333705980995,28,28,0.6428571428571429,0.9285714285714286,0.5,1.0,0.6428571428571429,0.5714285714285714
64,0.6,64,0.0001,2,1,20,1,1,0.7777777777777778,2,0.7865771812080536,0.7906040268456376,0.7937360178970917,1.0,1.0,1.0,1.0,0.6,0.6,0.42857142857142855,0.8,0.8031319910514542,0.819910514541387,0.4670022371364653,0.9267337807606264,0.9161073825503355,0.8534675615212528,0.8847874720357942,0.5089485458612976,0.9759507829977628,0.7298657718120806,0.9250559284116331,0.6868008948545862,0.39429530201342283,0.9804250559284117,0.9821029082774049,20,20,0.6,0.95,0.55,1.0,0.65,0.45
64,0.6,64,0.0001,2,1,20,1,1,0.7777777777777778,3,0.7626189143816452,0.8132064913262451,0.7719082260772244,1.0,1.0,1.0,1.0,0.6,0.6,0.42857142857142855,0.8,0.8757694459988808,0.8975937325125909,0.4264129826524902,0.8701734750979295,0.7431449356463347,0.8931169557918299,0.8567431449356463,0.4432008953553441,0.9647453833240067,0.9082260772243984,0.9250139899272524,0.6916620033575825,0.39899272523782875,0.9373251259093452,0.906547285954113,12,12,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.9166666666666666,1.0,0.5833333333333334
64,0.6,64,0.0001,2,1,20,1,1,0.7777777777777778,4,0.7443449048152295,0.8025755879059351,0.7992161254199328,1.0,1.0,1.0,1.0,0.6,0.6,0.42857142857142855,0.8,0.541993281075028,0.8846584546472565,0.5100783874580067,0.9596864501679732,0.8253079507278835,0.9210526315789473,0.8768197088465846,0.3538633818589026,0.990481522956327,0.8706606942889138,0.9249720044792833,0.6920492721164614,0.5078387458006719,0.9591265397536394,0.9120940649496081,7,7,0.7142857142857143,1.0,0.7142857142857143,1.0,True,True
64,0.6,64,0.0001,2,1,20,1,1,0.7777777777777778,5,0.7956302521008404,0.8228571428571428,0.8617366946778712,1.0,1.0,1.0,1.0,0.6,0.6,0.42857142857142855,0.8,0.726610644257703,0.8857142857142857,0.5316526610644258,0.9703081232492997,0.8638655462184874,0.9641456582633053,0.880672268907563,0.4072829131652661,0.9792717086834734,0.8829131652661064,0.9865546218487395,0.7008403361344537,0.7602240896358543,0.9366946778711485,0.9243697478991597,2,2,True,True,True,True,True,True
64,0.6,128,0.0001,2,1,20,1,1,0.8888888888888888,1,0.8910005589714924,0.8910005589714924,0.8910005589714924,1.0,1.0,1.0,1.0,0.4,0.8,0.7142857142857143,0.8,0.9877026271660145,0.8446059250978201,0.8121855785354947,0.917831190609279,0.8926774734488541,0.9877026271660145,0.8446059250978201,0.8121855785354947,0.917831190609279,0.8926774734488541,0.9877026271660145,0.8446059250978201,0.8121855785354947,0.917831190609279,0.8926774734488541,28,28,0.5714285714285714,1.0,0.5,1.0,0.75,0.8214285714285714
64,0.6,128,0.0001,2,1,20,1,1,0.8888888888888888,2,0.9190156599552572,0.9256152125279642,0.9234899328859061,1.0,1.0,1.0,1.0,0.4,0.8,0.7142857142857143,0.8,0.9776286353467561,0.7774049217002237,0.9401565995525727,0.9502237136465325,0.9496644295302014,0.9798657718120806,0.8243847874720358,0.9602908277404921,0.9463087248322147,0.9172259507829977,0.9793064876957495,0.7186800894854586,0.9748322147651006,0.9664429530201343,0.9781879194630873,20,20,0.6,1.0,0.45,1.0,0.65,0.85
64,0.6,128,0.0001,2,1,20,1,1,0.8888888888888888,3,0.8327923894795747,0.7856743144935646,0.9345271404588696,1.0,1.0,1.0,1.0,0.4,0.8,0.7142857142857143,0.8,0.9748181309457191,0.3855623950755456,0.8757694459988808,0.9390039171796307,0.9888080581980974,0.9837716843872412,0.08505875769445999,0.9311695579182988,0.9395635142697258,0.9888080581980974,0.9860100727476218,0.78735310576385,0.9697817571348629,0.9513150531617236,0.9781757134862898,12,12,0.5833333333333334,1.0,0.4166666666666667,1.0,0.5833333333333334,0.9166666666666666
64,0.6,128,0.0001,2,1,20,1,1,0.8888888888888888,4,0.9322508398656215,0.9048152295632699,0.9587905935050391,1.0,1.0,1.0,1.0,0.4,0.8,0.7142857142857143,0.8,0.9669652855543113,0.8527435610302352,0.9204927211646137,0.9412094064949608,0.9798432250839866,0.9725643896976484,0.6433370660694289,0.9759238521836506,0.9479283314669653,0.9843225083986562,0.9888017917133258,0.9008958566629339,0.9764837625979843,0.9496080627099664,0.9781634938409854,7,7,0.5714285714285714,1.0,0.5714285714285714,1.0,0.5714285714285714,1.0
64,0.6,128,0.0001,2,1,20,1,1,0.8888888888888888,5,0.938375350140056,0.9435294117647058,0.9594397759103641,1.0,1.0,1.0,1.0,0.4,0.8,0.7142857142857143,0.8,0.969187675070028,0.8672268907563025,0.9299719887955182,0.9529411764705882,0.9725490196078431,0.9775910364145658,0.8380952380952381,0.9764705882352941,0.9535014005602241,0.9719887955182073,0.988795518207283,0.900280112044818,0.9764705882352941,0.9535014005602241,0.9781512605042016,2,2,False,True,False,True,False,True
64,0.6,256,0.0001,2,1,20,1,1,0.75,1,0.8032420346562326,0.8032420346562326,0.8032420346562326,1.0,0.6666666666666666,1.0,1.0,0.4,0.4,0.7142857142857143,0.8,0.4538848518725545,0.8116266070430408,0.8474007825600894,0.9720514253773057,0.9312465064281722,0.4538848518725545,0.8116266070430408,0.8474007825600894,0.9720514253773057,0.9312465064281722,0.4538848518725545,0.8116266070430408,0.8474007825600894,0.9720514253773057,0.9312465064281722,28,28,0.75,0.8928571428571429,0.5714285714285714,1.0,0.7857142857142857,0.75
64,0.6,256,0.0001,2,1,20,1,1,0.75,2,0.8412751677852349,0.8288590604026845,0.8178970917225951,1.0,0.6666666666666666,1.0,1.0,0.4,0.4,0.7142857142857143,0.8,0.6644295302013423,0.7975391498881432,0.8394854586129754,0.9759507829977628,0.9289709172259508,0.6459731543624161,0.8003355704697986,0.8003355704697986,0.9742729306487695,0.9233780760626398,0.5134228187919463,0.808165548098434,0.8596196868008948,0.9670022371364653,0.9412751677852349,20,20,0.75,0.95,0.55,1.0,0.7,0.8
64,0.6,256,0.0001,2,1,20,1,1,0.75,3,0.8304420817011752,0.808393956351427,0.8276440962506995,1.0,0.6666666666666666,1.0,1.0,0.4,0.4,0.7142857142857143,0.8,0.5304980414101846,0.8287632904308898,0.8623391158365976,0.9759373251259094,0.9546726357022943,0.5109121432568551,0.7632904308897593,0.821488528259653,0.9753777280358142,0.9709009513150532,0.4611080022383884,0.8114157806379407,0.9451594851706772,0.9804141018466704,0.940123111359821,12,12,0.75,0.9166666666666666,0.6666666666666666,1.0,0.75,0.8333333333333334
64,0.6,256,0.0001,2,1,20,1,1,0.75,4,0.8778275475923852,0.8997760358342665,0.9223964165733483,1.0,0.6666666666666666,1.0,1.0,0.4,0.4,0.7142857142857143,0.8,0.8079507278835386,0.8493840985442329,0.828107502799552,0.9703247480403135,0.9333706606942889,0.8493840985442329,0.8409854423292273,0.8941769316909295,0.975363941769317,0.938969764837626,0.9456886898096305,0.8113101903695409,0.938969764837626,0.9759238521836506,0.9400895856662934,7,7,0.7142857142857143,1.0,0.5714285714285714,1.0,0.5714285714285714,0.8571428571428571
64,0.6,256,0.0001,2,1,20,1,1,0.75,5,0.8863865546218488,0.9095798319327731,0.9146218487394958,1.0,0.6666666666666666,1.0,1.0,0.4,0.4,0.7142857142857143,0.8,0.8341736694677871,0.82296918767507,0.8666666666666667,0.9680672268907563,0.9400560224089636,0.8621848739495799,0.8420168067226891,0.9428571428571428,0.9775910364145658,0.923249299719888,0.9266106442577031,0.7831932773109244,0.9596638655462185,0.9787114845938375,0.9249299719887956,2,2,True,True,True,True,1.0,0.5
64,0.6,512,0.0001,2,1,20,1,1,0.8333333333333334,1,0.8515371716042481,0.8515371716042481,0.8515371716042481,1.0,1.0,1.0,0.8,1.0,0.6,0.7142857142857143,1.0,0.9653437674678591,0.7870318613750699,0.6713247624371157,0.9144773616545556,0.9195081050866406,0.9653437674678591,0.7870318613750699,0.6713247624371157,0.9144773616545556,0.9195081050866406,0.9653437674678591,0.7870318613750699,0.6713247624371157,0.9144773616545556,0.9195081050866406,28,28,0.6785714285714286,0.9642857142857143,0.42857142857142855,1.0,0.75,0.75
64,0.6,512,0.0001,2,1,20,1,1,0.8333333333333334,2,0.9083892617449665,0.9131991051454139,0.9151006711409396,1.0,1.0,1.0,0.8,1.0,0.6,0.7142857142857143,1.0,0.9720357941834452,0.8098434004474273,0.8730425055928411,0.9457494407158836,0.9412751677852349,0.9714765100671141,0.7785234899328859,0.9116331096196868,0.9429530201342282,0.9614093959731543,0.982662192393736,0.8204697986577181,0.9619686800894854,0.9362416107382551,0.8741610738255033,20,20,0.75,0.95,0.65,1.0,0.85,0.8
64,0.6,512,0.0001,2,1,20,1,1,0.8333333333333334,3,0.8731952993844432,0.8667039731393397,0.923335198656967,1.0,1.0,1.0,0.8,1.0,0.6,0.7142857142857143,1.0,0.9625069949636262,0.8337996642417459,0.7369893676552882,0.9155008393956351,0.9171796306659206,0.9653049804141018,0.8819250139899273,0.78735310576385,0.9026301063234471,0.7963066592053721,0.9709009513150532,0.8203693340794628,0.9367655288192501,0.9602686066032456,0.9283715724678232,12,12,0.8333333333333334,0.9166666666666666,0.75,1.0,0.8333333333333334,0.6666666666666666
64,0.6,512,0.0001,2,1,20,1,1,0.8333333333333334,4,0.8928331466965286,0.9036954087346024,0.9189249720044793,1.0,1.0,1.0,0.8,1.0,0.6,0.7142857142857143,1.0,0.9759238521836506,0.8017917133258678,0.793952967525196,0.948488241881299,0.9440089585666294,0.977043673012318,0.8639417693169092,0.8868980963045913,0.9552071668533034,0.8353863381858903,0.9742441209406495,0.7642777155655095,0.9367301231802911,0.9602463605823068,0.9591265397536394,7,7,0.8571428571428571,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571
64,0.6,512,0.0001,2,1,20,1,1,0.8333333333333334,5,0.8965826330532213,0.9061064425770308,0.9225770308123249,1.0,1.0,1.0,0.8,1.0,0.6,0.7142857142857143,1.0,0.9803921568627451,0.8274509803921568,0.7943977591036414,0.9467787114845938,0.9338935574229692,0.9809523809523809,0.8705882352941177,0.8784313725490196,0.9546218487394958,0.84593837535014,0.9753501400560224,0.7815126050420168,0.9366946778711485,0.9607843137254902,0.9585434173669468,2,2,True,True,True,True,True,True
64,0.6,32,0.0001,2,1,20,1,1,0.8611111111111112,1,0.771939631078815,0.771939631078815,0.771939631078815,1.0,1.0,1.0,1.0,0.8,0.8,0.5714285714285714,1.0,0.941307993292342,0.5818893236444941,0.43376187814421463,0.9088876467300168,0.9938513135830073,0.941307993292342,0.5818893236444941,0.43376187814421463,0.9088876467300168,0.9938513135830073,0.941307993292342,0.5818893236444941,0.43376187814421463,0.9088876467300168,0.9938513135830073,28,28,0.5,1.0,0.39285714285714285,1.0,0.5,0.8571428571428571
