bs,discount,num_features,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim jog,sim sit,sim bike,sim downstairs,sim write,svm jog,svm sit,svm bike,svm downstairs,svm write,knn jog,knn sit,knn bike,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
64,0.9,256,0.0001,2,1,1,1,1,0.8055555555555556,1,0.8588038010061487,0.8588038010061487,0.8588038010061487,0.6666666666666666,1.0,1.0,1.0,0.4,0.6,0.7142857142857143,0.6,0.6562325321408609,0.8485187255449972,0.9524874231414198,0.9312465064281722,0.9055338177752935,0.6562325321408609,0.8485187255449972,0.9524874231414198,0.9312465064281722,0.9055338177752935,0.6562325321408609,0.8485187255449972,0.9524874231414198,0.9312465064281722,0.9055338177752935,28,28,0.4642857142857143,0.9642857142857143,0.32142857142857145,1.0,0.5,0.7857142857142857
64,0.9,256,0.0001,2,1,1,1,1,0.8055555555555556,2,0.9270693512304251,0.9069351230425056,0.9348993288590604,0.6666666666666666,1.0,1.0,1.0,0.4,0.6,0.7142857142857143,0.6,0.9194630872483222,0.87248322147651,0.9211409395973155,0.9552572706935123,0.9670022371364653,0.9395973154362416,0.854586129753915,0.7980984340044742,0.9653243847874721,0.977069351230425,0.9362416107382551,0.889261744966443,0.9446308724832215,0.9658836689038032,0.9384787472035794,20,20,0.45,0.9,0.45,1.0,0.65,0.75
64,0.9,256,0.0001,2,1,1,1,1,0.8055555555555556,3,0.9432568550643536,0.915165081141578,0.9458310016787913,0.6666666666666666,1.0,1.0,1.0,0.4,0.6,0.7142857142857143,0.6,0.9697817571348629,0.868494683827644,0.9395635142697258,0.9692221600447678,0.9692221600447678,0.9798545047565753,0.8651371012870733,0.7918298824846111,0.9669837716843872,0.9720201454952434,0.9613878007834359,0.8864017907106883,0.9513150531617236,0.9736989367655288,0.9563514269725797,12,12,0.3333333333333333,1.0,0.3333333333333333,1.0,0.8333333333333334,0.75
64,0.9,256,0.0001,2,1,1,1,1,0.8055555555555556,4,0.9375139977603584,0.9108622620380739,0.9403135498320269,0.6666666666666666,1.0,1.0,1.0,0.4,0.6,0.7142857142857143,0.6,0.9798432250839866,0.8555431131019037,0.9221724524076148,0.9692049272116461,0.9608062709966405,0.9860022396416573,0.8633818589025756,0.7844344904815229,0.9736842105263158,0.9468085106382979,0.9641657334826428,0.8773796192609182,0.9496080627099664,0.9809630459126539,0.9294512877939529,7,7,0.2857142857142857,1.0,0.2857142857142857,1.0,1.0,0.7142857142857143
64,0.9,256,0.0001,2,1,1,1,1,0.8055555555555556,5,0.9352380952380952,0.9074509803921569,0.940952380952381,0.6666666666666666,1.0,1.0,1.0,0.4,0.6,0.7142857142857143,0.6,0.9708683473389356,0.8638655462184874,0.9238095238095239,0.9747899159663865,0.9428571428571428,0.9859943977591037,0.876750700280112,0.780952380952381,0.973109243697479,0.9204481792717086,0.9658263305322129,0.8773109243697479,0.9389355742296919,0.9809523809523809,0.9417366946778711,2,2,False,True,False,True,1.0,0.5
64,0.9,256,0.0001,2,1,5,1,1,0.6944444444444444,1,0.7691447736165455,0.7691447736165455,0.7691447736165455,1.0,1.0,1.0,0.8,0.4,0.6,0.42857142857142855,0.4,0.9211850195640022,0.10508664058133035,0.9385131358300727,0.8988261598658468,0.9821129122414757,0.9211850195640022,0.10508664058133035,0.9385131358300727,0.8988261598658468,0.9821129122414757,0.9211850195640022,0.10508664058133035,0.9385131358300727,0.8988261598658468,0.9821129122414757,28,28,0.6071428571428571,0.8571428571428571,0.5,0.9285714285714286,0.6428571428571429,0.7857142857142857
64,0.9,256,0.0001,2,1,5,1,1,0.6944444444444444,2,0.8942953020134228,0.8247203579418344,0.920917225950783,1.0,1.0,1.0,0.8,0.4,0.6,0.42857142857142855,0.4,0.9714765100671141,0.785234899328859,0.8003355704697986,0.9496644295302014,0.964765100671141,0.9670022371364653,0.4597315436241611,0.7589485458612976,0.95917225950783,0.9787472035794184,0.9675615212527964,0.8249440715883669,0.918903803131991,0.9614093959731543,0.9317673378076062,20,20,0.5,0.9,0.45,0.95,0.7,0.65
64,0.9,256,0.0001,2,1,5,1,1,0.6944444444444444,3,0.8278679350867375,0.8632344711807498,0.9132624510352546,1.0,1.0,1.0,0.8,0.4,0.6,0.42857142857142855,0.4,0.9798545047565753,0.8002238388360381,0.434247341913822,0.970341354224958,0.9546726357022943,0.9826524902070509,0.7151650811415781,0.6793508673754897,0.9731393396754336,0.965864577504197,0.9675433687744823,0.7414661443760493,0.9205372132064913,0.9770565193060996,0.9597090095131505,12,12,0.5,0.9166666666666666,0.3333333333333333,1.0,0.5,0.8333333333333334
64,0.9,256,0.0001,2,1,5,1,1,0.6944444444444444,4,0.8648376259798433,0.929003359462486,0.9384098544232923,1.0,1.0,1.0,0.8,0.4,0.6,0.42857142857142855,0.4,0.9742441209406495,0.8829787234042553,0.5559910414333706,0.971444568868981,0.9395296752519597,0.9792833146696529,0.8751399776035834,0.8639417693169092,0.9781634938409854,0.948488241881299,0.9680851063829787,0.8538633818589025,0.9266517357222844,0.973124300111982,0.9703247480403135,7,7,0.42857142857142855,1.0,0.2857142857142857,1.0,0.5714285714285714,0.8571428571428571
64,0.9,256,0.0001,2,1,5,1,1,0.6944444444444444,5,0.8566946778711485,0.9295238095238095,0.9399439775910364,1.0,1.0,1.0,0.8,0.4,0.6,0.42857142857142855,0.4,0.9770308123249299,0.8705882352941177,0.5198879551820729,0.9719887955182073,0.9439775910364145,0.9882352941176471,0.8756302521008403,0.8689075630252101,0.9736694677871148,0.9411764705882353,0.9871148459383754,0.8414565826330532,0.9148459383753501,0.9736694677871148,0.9826330532212885,2,2,False,True,False,True,0.5,0.5
64,0.9,256,0.0001,2,1,10,1,1,0.6666666666666666,1,0.8524315259921744,0.8524315259921744,0.8524315259921744,0.6666666666666666,1.0,1.0,0.6,0.4,0.4,0.42857142857142855,0.8,0.8133035215204024,0.7126886528787032,0.7875908328675237,0.9832308552263834,0.9653437674678591,0.8133035215204024,0.7126886528787032,0.7875908328675237,0.9832308552263834,0.9653437674678591,0.8133035215204024,0.7126886528787032,0.7875908328675237,0.9832308552263834,0.9653437674678591,28,28,0.5,0.9642857142857143,0.35714285714285715,1.0,0.5714285714285714,0.8571428571428571
64,0.9,256,0.0001,2,1,10,1,1,0.6666666666666666,2,0.9033557046979865,0.9379194630872483,0.8749440715883668,0.6666666666666666,1.0,1.0,0.6,0.4,0.4,0.42857142857142855,0.8,0.7874720357941835,0.889821029082774,0.9491051454138703,0.9737136465324385,0.9166666666666666,0.9440715883668904,0.8568232662192393,0.9435123042505593,0.9748322147651006,0.9703579418344519,0.9636465324384788,0.808165548098434,0.9910514541387024,0.9295302013422819,0.6823266219239373,20,20,0.6,0.95,0.5,1.0,0.65,0.75
64,0.9,256,0.0001,2,1,10,1,1,0.6666666666666666,3,0.88505875769446,0.8991606043648573,0.9147174034695019,0.6666666666666666,1.0,1.0,0.6,0.4,0.4,0.42857142857142855,0.8,0.9272523782876329,0.8377168438724119,0.8114157806379407,0.9781757134862898,0.8707330721880246,0.9848908785674314,0.842753217683268,0.8192501398992725,0.9764969222160045,0.87241186345831,0.9865696698377169,0.7688864017907107,0.9837716843872412,0.9345271404588696,0.8998321208729715,12,12,0.5,0.9166666666666666,0.5,1.0,0.5,0.75
64,0.9,256,0.0001,2,1,10,1,1,0.6666666666666666,4,0.8711086226203807,0.8611422172452408,0.8858902575587906,0.6666666666666666,1.0,1.0,0.6,0.4,0.4,0.42857142857142855,0.8,0.9596864501679732,0.8460246360582306,0.8012318029115342,0.9658454647256439,0.7827547592385219,0.9899216125419933,0.868421052631579,0.8146696528555432,0.9636058230683091,0.6690929451287794,0.9854423292273237,0.8029115341545353,0.8079507278835386,0.9283314669652856,0.9048152295632699,7,7,0.42857142857142855,0.8571428571428571,0.42857142857142855,1.0,0.42857142857142855,0.8571428571428571
