samples_per_class,discount,num_features,num_selected,n_support,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim sit,sim bike,sim jog,sim downstairs,sim write,svm sit,svm bike,svm jog,svm downstairs,svm write,knn sit,knn bike,knn jog,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.93125,3,0.9091214325685506,0.9146054840514829,0.9224398433128148,0.9,0.9,1.0,1.0,0.9,0.9,1.0,0.85,0.9300503637381086,0.7257974258533856,0.9770565193060996,0.952993844432009,0.9597090095131505,0.9009513150531617,0.7940682708449917,0.952993844432009,0.9513150531617236,0.9736989367655288,0.919418019026301,0.7851147174034695,0.9860100727476218,0.965864577504197,0.9557918298824846,136,136,0.6029411764705882,0.9044117647058824,0.5294117647058824,0.9926470588235294,0.7720588235294118,0.8455882352941176
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.93125,4,0.8687569988801792,0.919036954087346,0.9019036954087346,0.9,0.9,1.0,1.0,0.9,0.9,1.0,0.85,0.9182530795072789,0.568868980963046,0.9658454647256439,0.931131019036954,0.9596864501679732,0.9266517357222844,0.8051511758118701,0.9647256438969765,0.9339305711086227,0.9647256438969765,0.8309070548712206,0.7849944008958567,0.9854423292273237,0.9473684210526315,0.9608062709966405,128,128,0.59375,0.9453125,0.5,1.0,0.7734375,0.859375
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.93125,5,0.8887394957983193,0.9225770308123249,0.9149579831932773,0.9,0.9,1.0,1.0,0.9,0.9,1.0,0.85,0.923249299719888,0.646498599439776,0.9663865546218487,0.9529411764705882,0.9546218487394958,0.9288515406162465,0.8257703081232493,0.9546218487394958,0.9490196078431372,0.9546218487394958,0.830812324929972,0.849859943977591,0.9854341736694678,0.9478991596638655,0.9607843137254902,120,120,0.6083333333333333,0.9,0.525,0.9916666666666667,0.7916666666666666,0.875
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.85,1,0.7579653437674678,0.7579653437674678,0.7579653437674678,1.0,0.95,1.0,0.95,0.5,0.7,0.75,0.95,0.8725544997205142,0.859139183901621,0.1777529346003354,0.9586361095584125,0.9217439910564561,0.8725544997205142,0.859139183901621,0.1777529346003354,0.9586361095584125,0.9217439910564561,0.8725544997205142,0.859139183901621,0.1777529346003354,0.9586361095584125,0.9217439910564561,152,152,0.5197368421052632,0.9013157894736842,0.3223684210526316,1.0,0.6513157894736842,0.7828947368421053
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.85,2,0.7737136465324385,0.7772930648769575,0.7762863534675615,1.0,0.95,1.0,0.95,0.5,0.7,0.75,0.95,0.9228187919463087,0.8456375838926175,0.20246085011185683,0.9720357941834452,0.9256152125279642,0.930089485458613,0.8668903803131991,0.2052572706935123,0.9658836689038032,0.9183445190156599,0.9155480984340044,0.8573825503355704,0.203579418344519,0.9759507829977628,0.9289709172259508,144,144,0.5347222222222222,0.9513888888888888,0.3402777777777778,1.0,0.6111111111111112,0.8402777777777778
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.85,3,0.821488528259653,0.8774482372691662,0.9182988248461108,1.0,0.95,1.0,0.95,0.5,0.7,0.75,0.95,0.9328483491885842,0.8399552322327923,0.43984331281477335,0.9507554560716285,0.9440402909904868,0.9244543928371572,0.846670397313934,0.7123670956911025,0.9518746502518187,0.9518746502518187,0.9143816452154448,0.7884722999440403,0.9776161163961947,0.9781757134862898,0.9328483491885842,136,136,0.5294117647058824,0.9264705882352942,0.4338235294117647,0.9926470588235294,0.6838235294117647,0.8455882352941176
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.85,4,0.8985442329227323,0.9191489361702128,0.9390817469204927,1.0,0.95,1.0,0.95,0.5,0.7,0.75,0.95,0.925531914893617,0.8516237402015677,0.8286674132138858,0.9496080627099664,0.9372900335946248,0.9260918253079508,0.8387458006718925,0.9468085106382979,0.9658454647256439,0.9182530795072789,0.9143337066069429,0.893057110862262,0.9781634938409854,0.977043673012318,0.9328107502799552,128,128,0.515625,0.9140625,0.4453125,0.9609375,0.7265625,0.8671875
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.85,5,0.8966946778711484,0.9238095238095239,0.9418487394957983,1.0,0.95,1.0,0.95,0.5,0.7,0.75,0.95,0.9389355742296919,0.792156862745098,0.8705882352941177,0.9478991596638655,0.9338935574229692,0.9333333333333333,0.8364145658263306,0.9607843137254902,0.9624649859943978,0.9260504201680673,0.9299719887955182,0.8929971988795519,0.9781512605042016,0.9753501400560224,0.9327731092436975,120,120,0.5083333333333333,0.9416666666666667,0.4583333333333333,0.9583333333333334,0.775,0.875
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.9125,1,0.7681386249301285,0.7681386249301285,0.7681386249301285,0.95,0.9,0.95,1.0,0.85,1.0,0.9,0.75,0.8144214645053103,0.2738960313024036,0.9888205701509223,0.8121855785354947,0.951369480156512,0.8144214645053103,0.2738960313024036,0.9888205701509223,0.8121855785354947,0.951369480156512,0.8144214645053103,0.2738960313024036,0.9888205701509223,0.8121855785354947,0.951369480156512,152,152,0.506578947368421,0.9342105263157895,0.16447368421052633,1.0,0.5,0.7697368421052632
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.9125,2,0.852572706935123,0.8381431767337808,0.9269574944071588,0.95,0.9,0.95,1.0,0.85,1.0,0.9,0.75,0.8467561521252797,0.5777404921700223,0.9860178970917226,0.87248322147651,0.9798657718120806,0.8053691275167785,0.6062639821029083,0.9334451901565995,0.8573825503355704,0.988255033557047,0.8294183445190156,0.9412751677852349,0.9860178970917226,0.9272930648769575,0.9507829977628636,144,144,0.5416666666666666,0.7777777777777778,0.4166666666666667,0.9930555555555556,0.7361111111111112,0.8680555555555556
