samples_per_class,discount,num_features,num_selected,n_support,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim sit,sim bike,sim jog,sim downstairs,sim write,svm sit,svm bike,svm jog,svm downstairs,svm write,knn sit,knn bike,knn jog,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
10,0.7,128,6,7,-1,2,4,1,1,same,0.04375,2,0.8318791946308725,0.8152125279642058,0.8489932885906041,0.0,0.0,0.1,0.0,0.05,0.2,0.0,0.0,0.9395973154362416,0.8959731543624161,0.8109619686800895,0.5553691275167785,0.9574944071588367,0.9463087248322147,0.8182326621923938,0.8355704697986577,0.522930648769575,0.9530201342281879,0.9328859060402684,0.8227069351230425,0.732662192393736,0.7818791946308725,0.9748322147651006,144,144,0.4722222222222222,0.9861111111111112,0.3541666666666667,1.0,0.5416666666666666,0.9236111111111112
10,0.7,128,6,7,-1,2,4,1,1,same,0.04375,3,0.8322327923894796,0.8007834359261332,0.8420817011751539,0.0,0.0,0.1,0.0,0.05,0.2,0.0,0.0,0.8416340235030778,0.8785674314493565,0.7979854504756575,0.6474538332400671,0.9955232232792389,0.7632904308897593,0.757694459988808,0.8500279798545047,0.6351426972579742,0.9977616116396195,0.8226077224398433,0.821488528259653,0.7856743144935646,0.78735310576385,0.9932848349188584,136,136,0.4632352941176471,0.9926470588235294,0.38235294117647056,1.0,0.5220588235294118,0.8970588235294118
10,0.7,128,6,7,-1,2,4,1,1,same,0.04375,4,0.9101903695408735,0.8856662933930571,0.8919372900335947,0.0,0.0,0.1,0.0,0.05,0.2,0.0,0.0,0.8768197088465846,0.8521836506159015,0.9339305711086227,0.8975363941769317,0.990481522956327,0.8460246360582306,0.7424412094064949,0.9456886898096305,0.9008958566629339,0.9932810750279956,0.832026875699888,0.8073908174692049,0.948488241881299,0.8807390817469205,0.9910414333706606,128,128,0.5390625,0.96875,0.3828125,1.0,0.5703125,0.8515625
10,0.7,128,6,7,-1,2,4,1,1,same,0.04375,5,0.8858263305322129,0.8841456582633053,0.897703081232493,0.0,0.0,0.1,0.0,0.05,0.2,0.0,0.0,0.8425770308123249,0.8022408963585435,0.938375350140056,0.8532212885154061,0.9927170868347339,0.8492997198879552,0.7602240896358543,0.9507002801120448,0.869467787114846,0.9910364145658264,0.8481792717086835,0.8072829131652661,0.95406162464986,0.8879551820728291,0.9910364145658264,120,120,0.5166666666666667,0.975,0.35833333333333334,1.0,0.575,0.8916666666666667
10,0.7,128,6,8,-1,2,4,1,1,same,0.0375,1,0.8397987702627167,0.8397987702627167,0.8397987702627167,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.7797652319731694,0.6852990497484628,0.8904415874790386,0.9250978200111795,0.9183901621017329,0.7797652319731694,0.6852990497484628,0.8904415874790386,0.9250978200111795,0.9183901621017329,0.7797652319731694,0.6852990497484628,0.8904415874790386,0.9250978200111795,0.9183901621017329,152,152,0.631578947368421,0.9276315789473685,0.25,1.0,0.5657894736842105,0.8618421052631579
10,0.7,128,6,8,-1,2,4,1,1,same,0.0375,2,0.8109619686800895,0.77248322147651,0.8573825503355704,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.5704697986577181,0.8048098434004475,0.825503355704698,0.8635346756152126,0.9904921700223713,0.5430648769574944,0.6644295302013423,0.8003355704697986,0.8640939597315436,0.9904921700223713,0.790268456375839,0.8104026845637584,0.7706935123042505,0.9440715883668904,0.9714765100671141,144,144,0.5972222222222222,0.9513888888888888,0.5,0.9791666666666666,0.6736111111111112,0.8541666666666666
10,0.7,128,6,8,-1,2,4,1,1,same,0.0375,3,0.8897593732512591,0.8780078343592613,0.9069949636261891,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.8198097369893677,0.8623391158365976,0.8914381645215445,0.8919977616116396,0.983212087297146,0.8438724118634583,0.7095691102406267,0.9725797425853385,0.898153329602686,0.965864577504197,0.876329043088976,0.9026301063234471,0.8780078343592613,0.9378847229994404,0.940123111359821,136,136,0.6029411764705882,0.9485294117647058,0.5514705882352942,0.9852941176470589,0.7279411764705882,0.8235294117647058
10,0.7,128,6,8,-1,2,4,1,1,same,0.0375,4,0.896528555431131,0.8876819708846585,0.9139977603583427,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.9059350503919373,0.816909294512878,0.8857782754759238,0.9025755879059351,0.971444568868981,0.9087346024636058,0.6987681970884658,0.9708846584546472,0.9109742441209406,0.9490481522956327,0.9277715565509519,0.9025755879059351,0.8773796192609182,0.9288913773796192,0.9333706606942889,128,128,0.6015625,0.96875,0.5390625,0.9921875,0.734375,0.859375
10,0.7,128,6,8,-1,2,4,1,1,same,0.0375,5,0.8894117647058823,0.8888515406162465,0.9138375350140056,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.865546218487395,0.834733893557423,0.8879551820728291,0.892436974789916,0.9663865546218487,0.857703081232493,0.7338935574229691,0.9831932773109243,0.923249299719888,0.946218487394958,0.923249299719888,0.9058823529411765,0.8649859943977591,0.9417366946778711,0.9333333333333333,120,120,0.6333333333333333,0.9416666666666667,0.5833333333333334,0.9916666666666667,0.7583333333333333,0.8583333333333333
10,0.7,128,6,9,-1,2,4,1,1,same,0.11875,1,0.6169927333705981,0.6169927333705981,0.6169927333705981,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.75,0.07490217998882057,0.7227501397428732,0.3610955841252096,0.9362772498602572,0.98993851313583,0.07490217998882057,0.7227501397428732,0.3610955841252096,0.9362772498602572,0.98993851313583,0.07490217998882057,0.7227501397428732,0.3610955841252096,0.9362772498602572,0.98993851313583,152,152,0.5263157894736842,0.9605263157894737,0.4407894736842105,1.0,0.631578947368421,0.868421052631579
