samples_per_class,discount,num_features,num_selected,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim sit,sim bike,sim jog,sim downstairs,sim write,svm sit,svm bike,svm jog,svm downstairs,svm write,knn sit,knn bike,knn jog,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
10,0.7,128,7,-1,2,4,1,1,same,0.09375,5,0.9360224089635855,0.8966946778711484,0.9279551820728291,0.0,0.05,0.1,0.0,0.45,0.1,0.05,0.0,0.8588235294117647,0.9243697478991597,0.9557422969187676,0.9719887955182073,0.969187675070028,0.8638655462184874,0.7663865546218488,0.907563025210084,0.9742296918767507,0.9714285714285714,0.830812324929972,0.9243697478991597,0.9210084033613445,0.9859943977591037,0.9775910364145658,120,120,0.7416666666666667,0.8166666666666667,0.5083333333333333,1.0,0.7,0.7916666666666666
10,0.7,128,8,-1,2,4,1,1,same,0.19375,1,0.7392956959195081,0.7392956959195081,0.7392956959195081,0.5,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.8714365567356065,0.7048630519843488,0.5701509223029626,0.6137506987143656,0.9362772498602572,0.8714365567356065,0.7048630519843488,0.5701509223029626,0.6137506987143656,0.9362772498602572,0.8714365567356065,0.7048630519843488,0.5701509223029626,0.6137506987143656,0.9362772498602572,152,152,0.3881578947368421,0.9539473684210527,0.27631578947368424,1.0,0.46710526315789475,0.7631578947368421
10,0.7,128,8,-1,2,4,1,1,same,0.19375,2,0.9082774049217002,0.9097315436241611,0.9064876957494408,0.5,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.8232662192393736,0.8512304250559284,0.9496644295302014,0.9468680089485458,0.9703579418344519,0.8400447427293065,0.9004474272930649,0.8998881431767338,0.9362416107382551,0.9720357941834452,0.8076062639821029,0.9317673378076062,0.95917225950783,0.8702460850111857,0.9636465324384788,144,144,0.4652777777777778,0.9444444444444444,0.4236111111111111,0.9861111111111112,0.7152777777777778,0.8055555555555556
10,0.7,128,8,-1,2,4,1,1,same,0.19375,3,0.9134862898712927,0.9134862898712927,0.9280358142137661,0.5,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.8841634023503078,0.9071068830442082,0.8365976496922216,0.9686625629546727,0.9709009513150532,0.8869613878007835,0.9608282036933408,0.8052602126468943,0.9445998880805819,0.9697817571348629,0.8371572467823167,0.9602686066032456,0.9278119753777281,0.9462786793508674,0.9686625629546727,136,136,0.5220588235294118,0.9411764705882353,0.4411764705882353,0.9852941176470589,0.7058823529411765,0.8308823529411765
10,0.7,128,8,-1,2,4,1,1,same,0.19375,4,0.9115341545352743,0.9135498320268757,0.939417693169093,0.5,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.8650615901455767,0.8790593505039194,0.868421052631579,0.9720044792833147,0.973124300111982,0.8695408734602463,0.893057110862262,0.8756998880179171,0.9552071668533034,0.9742441209406495,0.8381858902575587,0.9602463605823068,0.9703247480403135,0.9585666293393057,0.9697648376259799,128,128,0.46875,0.9375,0.4453125,0.9765625,0.7265625,0.8046875
10,0.7,128,8,-1,2,4,1,1,same,0.19375,5,0.9156302521008404,0.9298599439775911,0.9414005602240897,0.5,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8593837535014006,0.9260504201680673,0.965266106442577,0.9703081232492997,0.8532212885154061,0.9070028011204482,0.9585434173669468,0.9630252100840336,0.9675070028011205,0.8392156862745098,0.9602240896358544,0.9826330532212885,0.9551820728291317,0.9697478991596639,120,120,0.4583333333333333,0.9416666666666667,0.44166666666666665,0.9916666666666667,0.7333333333333333,0.85
10,0.7,128,2,-1,2,4,1,1,same,0.09375,1,0.5220793739519285,0.5220793739519285,0.5220793739519285,0.0,0.05,0.1,0.0,0.1,0.05,0.45,0.0,0.7903856903297932,0.21185019564002236,0.11626607043040806,0.6741196198993852,0.8177752934600335,0.7903856903297932,0.21185019564002236,0.11626607043040806,0.6741196198993852,0.8177752934600335,0.7903856903297932,0.21185019564002236,0.11626607043040806,0.6741196198993852,0.8177752934600335,152,152,0.34868421052631576,0.993421052631579,0.09210526315789473,1.0,0.756578947368421,0.7368421052631579
10,0.7,128,2,-1,2,4,1,1,same,0.09375,2,0.6676733780760626,0.7294183445190157,0.7574944071588366,0.0,0.05,0.1,0.0,0.1,0.05,0.45,0.0,0.7276286353467561,0.4015659955257271,0.5257270693512305,0.7589485458612976,0.924496644295302,0.7723713646532439,0.35011185682326623,0.9228187919463087,0.7583892617449665,0.843400447427293,0.6414988814317674,0.47818791946308725,0.9793064876957495,0.7259507829977628,0.9625279642058165,144,144,0.4236111111111111,1.0,0.4097222222222222,1.0,0.7638888888888888,0.6527777777777778
10,0.7,128,2,-1,2,4,1,1,same,0.09375,3,0.7673195299384443,0.7805260212646894,0.795635142697258,0.0,0.05,0.1,0.0,0.1,0.05,0.45,0.0,0.8080581980973699,0.39843312814773363,0.7968662562954673,0.9317291550083939,0.9015109121432568,0.8483491885842194,0.40458869613878007,0.9759373251259094,0.8455512031337437,0.8282036933407946,0.7772803581421377,0.4778959149412423,0.9820928931169558,0.7851147174034695,0.9557918298824846,136,136,0.4338235294117647,1.0,0.4117647058823529,1.0,0.7794117647058824,0.7058823529411765
10,0.7,128,2,-1,2,4,1,1,same,0.09375,4,0.7597984322508399,0.7692049272116461,0.7957446808510639,0.0,0.05,0.1,0.0,0.1,0.05,0.45,0.0,0.8040313549832027,0.4238521836506159,0.8342665173572228,0.8986562150055991,0.8381858902575587,0.8297872340425532,0.4540873460246361,0.977043673012318,0.8426651735722285,0.7424412094064949,0.8090705487122061,0.46808510638297873,0.9820828667413214,0.7693169092945129,0.9501679731243001,128,128,0.421875,0.9921875,0.4296875,0.9921875,0.6640625,0.765625
