samples_per_class,discount,num_features,num_selected,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim sit,sim bike,sim jog,sim downstairs,sim write,svm sit,svm bike,svm jog,svm downstairs,svm write,knn sit,knn bike,knn jog,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
8,0.9,128,2,0.0001,2,1,1,1,same,0.15,1,0.7030743432084964,0.7030743432084964,0.7030743432084964,0.15,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.6897708216880939,0.3991056456120738,0.9603130240357741,0.7344885410844046,0.7316936836221353,0.6897708216880939,0.3991056456120738,0.9603130240357741,0.7344885410844046,0.7316936836221353,0.6897708216880939,0.3991056456120738,0.9603130240357741,0.7344885410844046,0.7316936836221353,152,152,0.5460526315789473,0.9473684210526315,0.08552631578947369,1.0,0.8947368421052632,0.5328947368421053
8,0.9,128,2,0.0001,2,1,1,1,same,0.15,2,0.7703579418344519,0.7112975391498881,0.8063758389261745,0.15,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.7550335570469798,0.8299776286353467,0.9865771812080537,0.6985458612975392,0.5816554809843401,0.7841163310961968,0.8109619686800895,0.9854586129753915,0.5989932885906041,0.3769574944071588,0.6935123042505593,0.8825503355704698,0.9798657718120806,0.7108501118568232,0.7651006711409396,144,144,0.5555555555555556,0.9097222222222222,0.5625,0.9583333333333334,0.7708333333333334,0.6805555555555556
8,0.9,128,2,0.0001,2,1,1,1,same,0.15,3,0.7324006715165081,0.7116955791829882,0.8392837157246782,0.15,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.8063794068270845,0.7632904308897593,0.974258533855624,0.7090095131505316,0.40906547285954115,0.8136541689983212,0.6323447118074986,0.9826524902070509,0.7392277560156687,0.39059876888640177,0.7722439843312815,0.9222160044767768,0.974258533855624,0.7146054840514829,0.8130945719082261,136,136,0.5073529411764706,0.9558823529411765,0.5073529411764706,1.0,0.7647058823529411,0.7426470588235294
8,0.9,128,2,0.0001,2,1,1,1,same,0.15,4,0.7687569988801791,0.7632698768197088,0.8563269876819709,0.15,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.7648376259798432,0.7637178051511758,0.9764837625979843,0.7967525195968646,0.541993281075028,0.780515117581187,0.729003359462486,0.9843225083986562,0.8544232922732363,0.46808510638297873,0.7609182530795073,0.9154535274356103,0.9764837625979843,0.8135498320268757,0.8152295632698768,128,128,0.53125,0.90625,0.5390625,0.984375,0.7890625,0.7578125
8,0.9,128,2,0.0001,2,1,1,1,same,0.15,5,0.7697478991596639,0.7750140056022409,0.8648739495798319,0.15,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.7512605042016807,0.7126050420168067,0.9719887955182073,0.765266106442577,0.6476190476190476,0.7775910364145658,0.746218487394958,0.9781512605042016,0.896358543417367,0.47675070028011207,0.746218487394958,0.9182072829131652,0.9759103641456582,0.8336134453781513,0.8504201680672269,120,120,0.5333333333333333,0.9,0.5333333333333333,0.9833333333333333,0.7916666666666666,0.675
10,0.9,128,2,0.0001,2,1,1,1,same,0.1125,1,0.8965902738960313,0.8965902738960313,0.8965902738960313,0.15,0.0,0.0,0.65,0.0,0.1,0.0,0.0,0.7205142537730576,0.8697596422582449,0.9698155394074902,0.951369480156512,0.9714924538848518,0.7205142537730576,0.8697596422582449,0.9698155394074902,0.951369480156512,0.9714924538848518,0.7205142537730576,0.8697596422582449,0.9698155394074902,0.951369480156512,0.9714924538848518,152,152,0.5789473684210527,0.9671052631578947,0.3026315789473684,1.0,0.6776315789473685,0.6776315789473685
10,0.9,128,2,0.0001,2,1,1,1,same,0.1125,2,0.7470917225950783,0.70917225950783,0.8844519015659955,0.15,0.0,0.0,0.65,0.0,0.1,0.0,0.0,0.10961968680089486,0.9379194630872483,0.8635346756152126,0.8322147651006712,0.9921700223713646,0.08109619686800895,0.767337807606264,0.9602908277404921,0.7393736017897091,0.9977628635346756,0.7718120805369127,0.9759507829977628,0.9619686800894854,0.7818791946308725,0.930648769574944,144,144,0.5486111111111112,0.9722222222222222,0.5902777777777778,0.9652777777777778,0.7916666666666666,0.7430555555555556
10,0.9,128,2,0.0001,2,1,1,1,same,0.1125,3,0.7504196978175713,0.744935646334639,0.9155008393956351,0.15,0.0,0.0,0.65,0.0,0.1,0.0,0.0,0.2971460548405148,0.8449916060436485,0.6491326245103526,0.961947397873531,0.9988808058198098,0.03133743704532736,0.8410744264129827,0.9485170677112479,0.9048684946838277,0.9988808058198098,0.7688864017907107,0.9781757134862898,0.9546726357022943,0.9462786793508674,0.9294907666480134,136,136,0.5294117647058824,0.9852941176470589,0.5661764705882353,0.9632352941176471,0.7941176470588235,0.8014705882352942
10,0.9,128,2,0.0001,2,1,1,1,same,0.1125,4,0.696976483762598,0.7144456886898096,0.9184770436730123,0.15,0.0,0.0,0.65,0.0,0.1,0.0,0.0,0.09798432250839866,0.6763717805151176,0.8365061590145577,0.8740201567749161,1.0,0.007838745800671893,0.7413213885778276,0.9507278835386338,0.8723404255319149,1.0,0.7821948488241881,0.9776035834266518,0.9529675251959686,0.9451287793952967,0.9344904815229563,128,128,0.515625,0.984375,0.5390625,0.96875,0.7890625,0.828125
10,0.9,128,2,0.0001,2,1,1,1,same,0.1125,5,0.7502521008403361,0.7328851540616247,0.9256022408963586,0.15,0.0,0.0,0.65,0.0,0.1,0.0,0.0,0.3266106442577031,0.6929971988795518,0.9187675070028011,0.8134453781512605,0.9994397759103641,0.032492997198879554,0.796078431372549,0.9663865546218487,0.869467787114846,1.0,0.7876750700280112,0.9736694677871148,0.9781512605042016,0.9299719887955182,0.9585434173669468,120,120,0.5166666666666667,0.9833333333333333,0.5416666666666666,0.9583333333333334,0.775,0.8583333333333333
