samples_per_class,discount,num_features,num_selected,n_support,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,Open Door 2,Close Door 2,Close Fridge,Close Dishwasher,Close Drawer 1,Close Drawer 2,Close Drawer 3,Clean Table,Drink from Cup,Toggle Switch,sim Open Door 1,sim Close Door 1,sim Open Fridge,sim Open Dishwasher,sim Open Drawer 1,sim Open Drawer 2,sim Open Drawer 3,svm Open Door 1,svm Close Door 1,svm Open Fridge,svm Open Dishwasher,svm Open Drawer 1,svm Open Drawer 2,svm Open Drawer 3,knn Open Door 1,knn Close Door 1,knn Open Fridge,knn Open Dishwasher,knn Open Drawer 1,knn Open Drawer 2,knn Open Drawer 3,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
10,0.7,128,6,7,0.0,2,4,1,1,same,0.1,1,0.5025210084033613,0.5025210084033613,0.5025210084033613,0.1,0.0,0.05,0.05,0.0,0.35,0.0,0.0,0.05,0.4,0.5058823529411764,0.7411764705882353,0.4470588235294118,0.5882352941176471,0.3764705882352941,0.5411764705882353,0.3176470588235294,0.5058823529411764,0.7411764705882353,0.4470588235294118,0.5882352941176471,0.3764705882352941,0.5411764705882353,0.3176470588235294,0.5058823529411764,0.7411764705882353,0.4470588235294118,0.5882352941176471,0.3764705882352941,0.5411764705882353,0.3176470588235294,190,190,0.4368421052631579,0.5789473684210527,0.3105263157894737,0.9105263157894737,0.6842105263157895,0.6947368421052632
10,0.7,128,6,7,0.0,2,4,1,1,same,0.1,2,0.5901360544217688,0.5578231292517006,0.49489795918367346,0.1,0.0,0.05,0.05,0.0,0.35,0.0,0.0,0.05,0.4,0.7261904761904762,0.7142857142857143,0.30952380952380953,0.5119047619047619,0.5357142857142857,0.5119047619047619,0.8214285714285714,0.5714285714285714,0.7619047619047619,0.2857142857142857,0.5119047619047619,0.6309523809523809,0.30952380952380953,0.8333333333333334,0.6904761904761905,0.30952380952380953,0.30952380952380953,0.5714285714285714,0.5357142857142857,0.2976190476190476,0.75,180,180,0.49444444444444446,0.5055555555555555,0.4722222222222222,0.8833333333333333,0.6944444444444444,0.8055555555555556
10,0.7,128,6,7,0.0,2,4,1,1,same,0.1,3,0.6660929432013769,0.6540447504302926,0.5955249569707401,0.1,0.0,0.05,0.05,0.0,0.35,0.0,0.0,0.05,0.4,0.6144578313253012,0.8313253012048193,0.6626506024096386,0.6024096385542169,0.5662650602409639,0.6144578313253012,0.7710843373493976,0.5421686746987951,0.7469879518072289,0.7108433734939759,0.6265060240963856,0.6144578313253012,0.5542168674698795,0.7831325301204819,0.7108433734939759,0.3493975903614458,0.6144578313253012,0.5662650602409639,0.6626506024096386,0.5301204819277109,0.7349397590361446,170,170,0.5,0.5058823529411764,0.6294117647058823,0.8588235294117647,0.711764705882353,0.8058823529411765
10,0.7,128,6,7,0.0,2,4,1,1,same,0.1,4,0.710801393728223,0.7038327526132404,0.6794425087108014,0.1,0.0,0.05,0.05,0.0,0.35,0.0,0.0,0.05,0.4,0.7195121951219512,0.8414634146341463,0.7195121951219512,0.6829268292682927,0.6097560975609756,0.6829268292682927,0.7195121951219512,0.6341463414634146,0.7682926829268293,0.7073170731707317,0.7682926829268293,0.6219512195121951,0.6707317073170732,0.7560975609756098,0.7682926829268293,0.5609756097560976,0.7073170731707317,0.7804878048780488,0.6463414634146342,0.5853658536585366,0.7073170731707317,160,160,0.4875,0.50625,0.625,0.8375,0.69375,0.7875
10,0.7,128,6,7,0.0,2,4,1,1,same,0.1,5,0.7195767195767195,0.673721340388007,0.6772486772486772,0.1,0.0,0.05,0.05,0.0,0.35,0.0,0.0,0.05,0.4,0.6790123456790124,0.8148148148148148,0.7530864197530864,0.6790123456790124,0.7283950617283951,0.6666666666666666,0.7160493827160493,0.5679012345679012,0.7901234567901234,0.7407407407407407,0.7654320987654321,0.6419753086419753,0.49382716049382713,0.7160493827160493,0.8024691358024691,0.5679012345679012,0.7160493827160493,0.7901234567901234,0.654320987654321,0.5555555555555556,0.654320987654321,150,150,0.4866666666666667,0.5066666666666667,0.62,0.7933333333333333,0.7066666666666667,0.7733333333333333
10,0.7,128,6,7,0.0,2,4,1,1,different,0.095,1,0.4504201680672269,0.4504201680672269,0.4504201680672269,0.0,0.65,0.2,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.08235294117647059,0.9764705882352941,0.6235294117647059,0.6470588235294118,0.49411764705882355,0.27058823529411763,0.058823529411764705,0.08235294117647059,0.9764705882352941,0.6235294117647059,0.6470588235294118,0.49411764705882355,0.27058823529411763,0.058823529411764705,0.08235294117647059,0.9764705882352941,0.6235294117647059,0.6470588235294118,0.49411764705882355,0.27058823529411763,0.058823529411764705,190,190,0.5105263157894737,0.7947368421052632,0.015789473684210527,1.0,0.6526315789473685,0.7894736842105263
10,0.7,128,6,7,0.0,2,4,1,1,different,0.095,2,0.5731292517006803,0.5867346938775511,0.5357142857142857,0.0,0.65,0.2,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.21428571428571427,1.0,0.4642857142857143,0.75,0.6071428571428571,0.75,0.2261904761904762,0.34523809523809523,0.9761904761904762,0.4642857142857143,0.8095238095238095,0.5714285714285714,0.75,0.19047619047619047,0.42857142857142855,0.8928571428571429,0.47619047619047616,0.7261904761904762,0.4166666666666667,0.6190476190476191,0.19047619047619047,180,180,0.6166666666666667,0.7166666666666667,0.25555555555555554,0.9555555555555556,0.7166666666666667,0.8166666666666667
10,0.7,128,6,7,0.0,2,4,1,1,different,0.095,3,0.6075731497418244,0.6506024096385542,0.5817555938037866,0.0,0.65,0.2,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.3373493975903614,0.9759036144578314,0.4819277108433735,0.7710843373493976,0.7710843373493976,0.7228915662650602,0.1927710843373494,0.6385542168674698,0.927710843373494,0.5180722891566265,0.7951807228915663,0.8313253012048193,0.6987951807228916,0.14457831325301204,0.5542168674698795,0.8795180722891566,0.4819277108433735,0.7108433734939759,0.5662650602409639,0.6746987951807228,0.20481927710843373,170,170,0.6352941176470588,0.6588235294117647,0.4176470588235294,0.9705882352941176,0.7705882352941177,0.8235294117647058
10,0.7,128,6,7,0.0,2,4,1,1,different,0.095,4,0.686411149825784,0.7177700348432056,0.6289198606271778,0.0,0.65,0.2,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.524390243902439,0.975609756097561,0.5609756097560976,0.7560975609756098,0.6585365853658537,0.6585365853658537,0.6707317073170732,0.7804878048780488,0.8048780487804879,0.5853658536585366,0.7439024390243902,0.7317073170731707,0.6341463414634146,0.7439024390243902,0.5975609756097561,0.8536585365853658,0.3902439024390244,0.6829268292682927,0.5,0.6585365853658537,0.7195121951219512,160,160,0.475,0.6625,0.54375,0.96875,0.8375,0.8375
10,0.7,128,6,7,0.0,2,4,1,1,different,0.095,5,0.7301587301587301,0.7513227513227513,0.654320987654321,0.0,0.65,0.2,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.6419753086419753,0.8765432098765432,0.691358024691358,0.8024691358024691,0.691358024691358,0.6296296296296297,0.7777777777777778,0.8765432098765432,0.7777777777777778,0.6419753086419753,0.8024691358024691,0.7654320987654321,0.6172839506172839,0.7777777777777778,0.7037037037037037,0.7901234567901234,0.43209876543209874,0.6790123456790124,0.6172839506172839,0.654320987654321,0.7037037037037037,150,150,0.35333333333333333,0.7066666666666667,0.5866666666666667,0.98,0.86,0.88
10,0.7,128,6,7,0.0,2,4,1,2,same,0.015,1,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.6901408450704225,0.7464788732394366,0.29577464788732394,0.4225352112676056,0.7323943661971831,0.647887323943662,0.8028169014084507,0.6901408450704225,0.7464788732394366,0.29577464788732394,0.4225352112676056,0.7323943661971831,0.647887323943662,0.8028169014084507,0.6901408450704225,0.7464788732394366,0.29577464788732394,0.4225352112676056,0.7323943661971831,0.647887323943662,0.8028169014084507,190,190,0.48947368421052634,0.5526315789473685,0.0,1.0,0.531578947368421,0.7421052631578947
10,0.7,128,6,7,0.0,2,4,1,2,same,0.015,2,0.673469387755102,0.6673469387755102,0.6795918367346939,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.5714285714285714,0.9428571428571428,0.5714285714285714,0.7285714285714285,0.42857142857142855,0.7,0.7714285714285715,0.6142857142857143,0.9428571428571428,0.5,0.7571428571428571,0.34285714285714286,0.7,0.8142857142857143,0.6428571428571429,0.9714285714285714,0.6428571428571429,0.5857142857142857,0.7142857142857143,0.7,0.5,180,180,0.5722222222222222,0.5,0.027777777777777776,1.0,0.7222222222222222,0.7
10,0.7,128,6,7,0.0,2,4,1,2,same,0.015,3,0.7349896480331263,0.7329192546583851,0.6770186335403726,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.8985507246376812,0.7971014492753623,0.5507246376811594,0.7391304347826086,0.6666666666666666,0.6666666666666666,0.8260869565217391,0.8985507246376812,0.8405797101449275,0.42028985507246375,0.782608695652174,0.7246376811594203,0.6666666666666666,0.7971014492753623,0.9420289855072463,0.5652173913043478,0.5217391304347826,0.7536231884057971,0.7391304347826086,0.6231884057971014,0.5942028985507246,170,170,0.48823529411764705,0.5647058823529412,0.22941176470588234,0.8823529411764706,0.8,0.7235294117647059
10,0.7,128,6,7,0.0,2,4,1,2,same,0.015,4,0.7521008403361344,0.7457983193277311,0.7142857142857143,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.9558823529411765,0.7205882352941176,0.5147058823529411,0.7352941176470589,0.7941176470588235,0.7205882352941176,0.8235294117647058,0.9558823529411765,0.7205882352941176,0.5588235294117647,0.7205882352941176,0.8088235294117647,0.6911764705882353,0.7647058823529411,0.9411764705882353,0.6176470588235294,0.45588235294117646,0.7058823529411765,0.8382352941176471,0.6323529411764706,0.8088235294117647,160,160,0.525,0.575,0.175,0.975,0.78125,0.74375
10,0.7,128,6,7,0.0,2,4,1,2,same,0.015,5,0.7270788912579957,0.7611940298507462,0.7356076759061834,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.9701492537313433,0.6567164179104478,0.5671641791044776,0.6716417910447762,0.6567164179104478,0.7313432835820896,0.835820895522388,0.9701492537313433,0.8208955223880597,0.6268656716417911,0.7014925373134329,0.7761194029850746,0.7164179104477612,0.7164179104477612,0.9552238805970149,0.7164179104477612,0.5373134328358209,0.6716417910447762,0.7761194029850746,0.7014925373134329,0.7910447761194029,150,150,0.5266666666666666,0.5933333333333334,0.3,0.9733333333333334,0.7466666666666667,0.7666666666666667
